This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:     5480
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     1572
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1572

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7338185e+02 1.49e+01 2.93e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.2659438e+03 1.40e+01 6.96e+01  -0.0 6.30e+00    -  9.39e-03 6.43e-02f  1
   2  8.7124135e+03 9.48e+00 1.50e+02   0.3 5.45e+00    -  1.85e-01 3.21e-01f  1
   3  1.0144777e+04 5.36e+00 1.78e+02   0.3 3.75e+00    -  4.74e-01 4.34e-01f  1
   4  1.1551072e+04 2.99e+00 2.17e+02   0.4 2.98e+00    -  1.44e-01 4.43e-01f  1
   5  6.2692023e+04 2.43e+00 5.01e+03   1.7 2.40e+01    -  2.02e-02 2.25e-01f  1
   6  3.3647420e+04 9.20e-01 6.12e+02   0.7 5.78e+00    -  1.00e+00 6.03e-01f  1
   7  2.6927307e+04 3.07e+00 7.78e+02   0.7 2.23e+00    -  9.02e-01 9.90e-01f  1
   8  1.5993802e+04 1.03e+00 2.35e+04   0.4 1.99e+00    -  9.86e-01 9.21e-01f  1
   9  1.1803718e+04 7.27e-01 8.21e+03  -0.1 1.95e+00    -  4.53e-01 4.56e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.0922180e+04 5.66e-01 4.25e+06   0.3 1.53e+00    -  9.98e-01 4.27e-01f  1
  11  2.0405507e+04 6.72e-01 1.10e+07   0.6 1.40e+00    -  5.65e-01 1.00e+00f  1
  12  1.7825368e+04 3.88e-01 1.65e+07   0.5 1.78e+00    -  4.99e-01 5.40e-01f  1
  13  2.2500549e+04 9.02e-02 4.83e+01   0.7 9.55e-01    -  1.00e+00 1.00e+00f  1
  14  1.2021318e+04 2.80e-01 7.14e+07  -4.0 3.17e+00    -  6.41e-01 4.95e-01f  1
  15  1.1593510e+04 2.31e-01 5.51e+07   0.3 2.50e+00    -  8.69e-01 1.64e-01f  3
  16  9.2429348e+03 1.94e-01 5.00e+01   0.3 3.31e-01    -  1.00e+00 1.00e+00f  1
  17  6.0935782e+03 1.46e-01 7.31e+07  -4.0 1.40e+00    -  7.81e-01 3.80e-01f  1
  18  4.5946380e+03 3.10e-01 2.84e+07  -0.3 1.22e+00    -  1.00e+00 5.18e-01f  1
  19  3.3172054e+03 2.95e-01 3.53e+07  -0.8 1.35e+00    -  1.00e+00 4.55e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.6229683e+03 2.33e-01 3.08e+07  -1.2 6.23e-01    -  1.00e+00 3.44e-01f  1
  21  1.8695985e+03 1.36e-01 1.56e+07  -1.4 7.50e-01    -  1.00e+00 5.31e-01f  1
  22  1.6549587e+03 1.09e-01 3.55e+06  -0.9 1.06e+00    -  8.37e-01 6.86e-01f  1
  23  1.7679717e+03 9.37e-02 5.84e+05  -0.6 1.33e+00    -  6.53e-01 4.29e-01f  1
  24  1.8854375e+03 7.13e-02 5.28e+06  -0.5 2.27e+00    -  6.48e-01 2.89e-01f  1
  25  1.7159213e+03 1.78e-01 2.69e+05  -0.7 2.34e+00    -  7.77e-01 4.99e-01f  1
  26  1.6501790e+03 3.07e-01 3.18e+05  -0.7 1.92e+00    -  5.50e-01 6.70e-01f  1
  27  1.4015709e+03 1.27e-01 1.12e+06  -0.8 7.94e-01    -  1.00e+00 5.70e-01f  1
  28  1.2191640e+03 2.28e-01 4.82e+04  -0.8 3.50e-01    -  8.94e-01 1.00e+00f  1
  29  9.3314077e+02 6.99e-02 2.50e+06  -1.1 6.35e-01    -  1.00e+00 7.15e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  7.9758481e+02 1.03e-01 1.63e+06  -1.1 1.98e+00    -  1.00e+00 5.11e-01f  1
  31  7.1599094e+02 7.12e-02 8.11e+05  -1.1 2.14e+00    -  8.39e-01 4.46e-01f  1
  32  6.2999242e+02 8.36e-02 9.05e+05  -1.2 1.43e+00    -  9.07e-01 5.10e-01f  1
  33  5.2460025e+02 4.51e-02 3.33e+06  -1.6 6.03e-01    -  1.00e+00 3.13e-01f  1
  34  7.1658868e+02 8.02e-02 3.74e+06  -1.0 4.73e-01    -  5.48e-01 1.00e+00f  1
  35  5.5105210e+02 4.56e-02 1.57e+01  -1.1 2.84e-01    -  1.00e+00 1.00e+00f  1
  36  3.8077598e+02 2.12e-02 2.48e+06  -1.8 4.20e-01    -  9.99e-01 5.94e-01f  1
  37  3.0603957e+02 3.64e-02 1.16e+06  -1.8 8.51e-01    -  1.00e+00 5.16e-01f  1
  38  2.6808872e+02 2.88e-02 1.82e+06  -2.3 6.94e-01    -  1.00e+00 2.32e-01f  1
  39  2.3364491e+02 2.44e-02 1.33e+06  -2.2 1.55e+00    -  6.14e-01 2.28e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  2.1319829e+02 2.07e-02 9.60e+05  -2.1 1.23e+00    -  7.33e-01 1.97e-01f  1
  41  1.8406820e+02 1.90e-02 7.38e+05  -2.6 1.94e+00    -  4.11e-01 2.89e-01f  1
  42  1.7515226e+02 1.73e-02 6.70e+05  -2.2 3.07e+00    -  4.48e-01 7.88e-02f  1
  43  1.6466363e+02 1.35e-02 5.55e+05  -2.2 2.41e+00    -  7.42e-01 1.42e-01f  1
  44  1.5845922e+02 1.11e-02 1.78e+05  -2.0 1.22e+00    -  1.00e+00 1.77e-01f  1
  45  1.6634032e+02 2.51e-02 1.23e+05  -1.7 2.18e+00    -  4.85e-01 2.12e-01f  3
  46  2.0820518e+02 8.15e-04 1.20e+05  -2.0 8.60e-01    -  6.47e-01 1.00e+00H  1
  47  1.3935139e+02 1.20e-02 1.13e+05  -2.2 5.66e-01    -  1.00e+00 7.10e-01f  1
  48  1.1613475e+02 3.55e-03 9.72e+04  -2.5 2.01e-01    -  1.00e+00 7.96e-01f  1
  49  1.0518589e+02 1.67e-03 1.55e+05  -3.3 5.52e-02    -  1.00e+00 5.56e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  9.9812284e+01 7.69e-04 8.87e+04  -4.0 4.49e-02    -  1.00e+00 5.41e-01f  1
  51  9.7778944e+01 5.81e-04 6.52e+04  -4.0 2.59e-01    -  6.44e-01 2.65e-01f  1
  52  9.6678534e+01 5.71e-04 3.89e+04  -3.0 7.65e-01    -  3.42e-01 1.37e-01f  1
  53  9.6321991e+01 2.99e-03 1.87e+04  -2.5 2.27e+00    -  3.02e-01 1.22e-01f  1
  54  9.8408491e+01 7.90e-03 4.46e+04  -2.6 2.09e+00    -  4.11e-01 1.92e-01f  1
  55  9.6092114e+01 6.66e-03 3.14e+04  -2.9 8.49e-01    -  2.76e-01 2.20e-01f  1
  56  9.3075303e+01 4.91e-03 1.96e+04  -3.0 6.25e-01    -  2.72e-01 1.72e-01f  1
  57  9.2182171e+01 6.27e-03 1.16e+04  -2.9 8.55e-01    -  4.77e-01 2.37e-01f  1
  58  1.0747253e+02 1.00e-02 1.79e+04  -2.4 4.34e-01    -  6.84e-01 6.34e-01f  1
  59  9.5864391e+01 4.58e-03 7.10e+00  -2.6 1.02e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  9.5386660e+01 2.05e-03 5.36e+00  -2.6 1.01e-01    -  1.00e+00 1.00e+00f  1
