This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    19061
Number of nonzeros in inequality constraint Jacobian.:     9316
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6568
                     variables with only lower bounds:     1517
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5217
Total number of inequality constraints...............:     1796
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1796

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.5910010e+02 6.84e+00 2.95e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  7.9579337e+02 6.06e+00 1.95e+01  -0.6 4.41e+00    -  2.06e-02 1.13e-01f  1
   2  2.0967439e+03 5.61e+00 7.01e+01   0.1 5.06e+00    -  5.35e-01 7.54e-02f  1
   3  4.2177480e+03 4.08e+00 3.81e+01   0.4 3.47e+00    -  2.28e-01 2.71e-01f  1
   4  4.0893291e+03 1.36e+00 4.25e+01   0.1 1.75e+00    -  3.73e-01 6.66e-01f  1
   5  3.0675603e+03 9.72e-01 2.81e+01  -0.4 3.04e+00    -  3.47e-01 2.87e-01f  1
   6  2.9746341e+03 4.96e-01 9.68e+01  -0.1 7.30e-01    -  7.02e-01 4.90e-01f  1
   7  2.6641812e+03 1.05e-01 3.74e+01  -0.3 8.15e-01    -  7.09e-01 7.89e-01f  1
   8  2.7873520e+03 3.38e-02 1.77e+02  -0.3 1.04e+00    -  7.30e-01 6.77e-01h  1
   9  2.3629482e+03 1.36e-02 8.47e+02  -0.4 4.68e-01    -  9.90e-01 8.80e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.8047984e+03 6.92e-03 5.22e+04  -0.2 4.36e-01    -  5.36e-01 9.92e-01f  1
  11  2.1189183e+03 2.81e-03 9.54e+05  -0.7 3.06e-01    -  1.00e+00 6.99e-01f  1
  12  2.2829018e+03 1.52e-03 1.66e+01  -0.4 1.20e-01    -  1.00e+00 1.00e+00f  1
  13  1.7693088e+03 9.62e-04 8.18e+05  -0.8 2.84e-01    -  1.00e+00 7.72e-01f  1
  14  2.5355795e+03 6.86e-03 9.13e+06  -0.1 1.20e+00    -  5.91e-01 4.39e-01f  1
  15  2.5398471e+03 7.44e-04 2.97e+01  -0.4 4.34e-01    -  1.00e+00 1.00e+00H  1
  16  1.7872055e+03 1.02e-02 6.85e+04  -0.5 3.70e-01    -  9.94e-01 1.00e+00f  1
  17  1.6356430e+03 7.74e-03 1.92e+01  -0.6 2.62e-01    -  1.00e+00 1.00e+00h  1
  18  1.5129520e+03 4.75e-03 3.47e+04  -0.6 1.45e-01    -  8.86e-01 1.00e+00f  1
  19  1.2637270e+03 2.19e-03 6.39e+06  -1.0 1.85e-01    -  1.00e+00 5.56e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.8959867e+03 3.72e-03 2.94e+05  -0.7 1.33e+00    -  1.00e+00 9.46e-01H  1
  21  1.3175530e+03 1.85e-02 1.13e+06  -0.7 7.72e-01    -  1.00e+00 6.36e-01f  1
  22  1.1159160e+03 6.12e-03 5.91e+05  -0.8 6.12e-01    -  8.51e-01 7.60e-01f  1
  23  1.0401992e+03 1.16e-02 2.51e+04  -0.9 1.79e-01    -  7.70e-01 8.09e-01f  1
  24  9.0407896e+02 2.98e-03 2.81e+03  -1.0 1.12e-01    -  1.00e+00 9.99e-01f  1
  25  7.9389464e+02 1.22e-03 1.85e+06  -1.3 1.05e-01    -  1.00e+00 6.31e-01f  1
  26  7.8865037e+02 2.26e-03 3.51e+05  -1.0 3.58e-01    -  1.00e+00 8.91e-01H  1
  27  9.8166098e+02 2.89e-03 1.83e+06  -0.8 2.22e-01    -  1.00e+00 7.42e-01f  1
  28  9.6281469e+02 6.03e-03 1.18e+06  -0.9 5.66e-01    -  4.85e-01 5.94e-01h  1
  29  8.5650904e+02 2.99e-03 1.30e+06  -0.9 2.27e-01    -  3.75e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  8.5803644e+02 4.21e-04 5.58e+00  -0.9 5.50e-02    -  1.00e+00 1.00e+00h  1
  31  7.0365072e+02 5.26e-04 2.70e+06  -1.3 1.44e-01    -  9.94e-01 6.16e-01f  1
  32  6.5087771e+02 1.33e-03 3.23e+06  -1.4 8.37e-01    -  1.00e+00 2.51e-01f  1
  33  5.6921718e+02 3.81e-03 1.01e+01  -1.3 4.03e-01    -  1.00e+00 1.00e+00f  1
