This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    19061
Number of nonzeros in inequality constraint Jacobian.:     9464
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6568
                     variables with only lower bounds:     1517
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5217
Total number of inequality constraints...............:     1796
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1796

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.5910009e+02 6.84e+00 2.94e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  7.0560207e+02 6.07e+00 1.01e+01  -0.6 4.27e+00    -  2.08e-02 1.13e-01f  1
   2  1.9640144e+03 5.57e+00 2.13e+01   0.1 5.41e+00    -  2.32e-01 8.20e-02f  1
   3  4.2207969e+03 3.90e+00 2.51e+01   0.2 3.76e+00    -  2.44e-01 2.99e-01f  1
   4  3.1254321e+03 1.92e+00 1.64e+01  -0.1 1.88e+00    -  4.94e-01 5.07e-01f  1
   5  2.3909757e+03 1.26e+00 1.77e+01  -0.5 3.37e+00    -  4.01e-01 3.42e-01f  1
   6  2.4707861e+03 5.84e-01 1.19e+02  -0.3 9.96e-01    -  9.42e-01 5.38e-01f  1
   7  2.1200206e+03 2.96e-01 1.64e+02  -0.6 4.52e-01    -  8.20e-01 4.93e-01f  1
   8  1.6395930e+03 1.45e-01 1.00e+02  -0.8 1.15e+00    -  5.62e-01 5.09e-01f  1
   9  1.3410122e+03 2.70e-02 1.97e+02  -0.6 1.31e+00    -  6.21e-01 8.14e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.1843870e+03 8.72e-03 5.46e+02  -0.8 1.23e+00    -  9.70e-01 8.38e-01H  1
  11  1.5870677e+03 4.38e-02 1.88e+03  -0.5 5.60e-01    -  9.83e-01 9.44e-01f  1
  12  1.3384955e+03 1.68e-02 3.94e+05  -0.6 6.33e-01    -  1.88e-01 7.94e-01f  1
  13  1.2763620e+03 5.25e-03 1.15e+05  -0.6 1.85e-01    -  9.60e-01 1.00e+00f  1
  14  1.1236556e+03 4.14e-03 3.68e+00  -0.7 2.59e-01    -  1.00e+00 1.00e+00f  1
  15  8.2935737e+02 2.34e-03 2.56e+06  -1.0 3.66e-01    -  9.90e-01 7.64e-01f  1
  16  6.7291645e+02 1.96e-03 9.02e+03  -1.1 4.09e-01    -  9.72e-01 9.99e-01H  1
  17  5.8276483e+02 5.90e-03 3.56e+05  -1.2 2.62e-01    -  1.00e+00 8.08e-01f  1
  18  5.5247957e+02 4.09e-03 5.61e+03  -1.2 3.13e-01    -  7.75e-01 1.00e+00f  1
  19  4.4688870e+02 1.32e-03 3.24e+00  -1.4 1.44e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.9280511e+02 3.83e-03 6.06e+05  -1.5 5.47e-01    -  9.96e-01 5.90e-01f  1
  21  3.6484969e+02 2.46e-03 9.24e+05  -1.7 4.96e-01    -  1.00e+00 3.16e-01f  1
  22  3.4024785e+02 1.80e-03 7.16e+05  -1.7 3.98e-01    -  5.83e-01 2.98e-01f  1
  23  3.0993425e+02 2.96e-03 3.22e+05  -1.8 3.67e-01    -  6.95e-01 5.91e-01f  1
  24  2.9577451e+02 2.01e-03 3.04e+05  -1.9 4.49e-01    -  1.00e+00 5.70e-01H  1
  25  3.2604293e+02 3.22e-03 1.01e+05  -1.6 1.65e-01    -  9.24e-01 1.00e+00f  1
  26  3.1289354e+02 2.38e-03 2.84e+05  -1.7 1.45e-01    -  7.66e-01 3.05e-01f  1
  27  2.7404468e+02 1.38e-03 9.26e+05  -2.2 2.35e-01    -  1.00e+00 5.09e-01f  1
  28  4.3609072e+02 1.24e-03 6.45e+05  -1.5 3.77e-01    -  7.55e-01 1.00e+00H  1
  29  3.4502997e+02 1.06e-03 5.57e+05  -1.7 3.28e-01    -  1.00e+00 4.85e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  2.7168771e+02 2.05e-03 5.21e+05  -2.0 3.16e-01    -  1.00e+00 6.90e-01f  1
  31  2.7565340e+02 1.18e-03 3.67e+05  -1.6 2.16e-01    -  8.65e-01 3.60e-01f  1
  32  2.6998889e+02 7.80e-05 2.35e+05  -1.8 3.05e-02    -  5.74e-01 1.00e+00f  1
  33  2.4024296e+02 1.02e-03 2.76e+00  -2.0 1.54e-01    -  1.00e+00 1.00e+00f  1
  34  3.1497255e+02 1.96e-03 6.01e+05  -1.5 5.66e-01    -  8.24e-01 5.65e-01f  1
  35  2.8571752e+02 3.75e-03 6.79e+03  -1.7 2.29e-01    -  1.00e+00 9.61e-01f  1
