This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:     5480
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     1572
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1572

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  7.5292929e+02 1.43e+01 2.30e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.4877649e+03 1.33e+01 6.83e+00  -0.0 6.18e+00    -  9.66e-03 6.58e-02f  1
   2  5.1959230e+03 1.30e+01 2.51e+01   1.0 8.81e+01    -  8.10e-03 2.63e-02f  1
   3  5.0787841e+03 1.13e+01 2.57e+01  -0.6 4.79e+00    -  4.68e-02 1.30e-01f  1
   4  1.4871890e+04 1.11e+01 7.04e+01   1.5 2.29e+02    -  6.45e-03 1.71e-02f  1
   5  1.3871947e+04 5.65e+00 5.69e+01  -0.2 4.72e+00    -  2.43e-01 4.91e-01f  1
   6  1.5077550e+04 2.50e+00 7.63e+01  -0.2 3.51e+00    -  2.37e-01 5.57e-01f  1
   7  1.0568580e+04 1.30e+00 1.73e+01  -0.5 1.59e+00    -  9.96e-01 9.20e-01f  1
   8  2.7842868e+04 1.38e+00 2.69e+03   1.5 2.01e+02    -  1.24e-02 2.50e-02f  1
   9  2.4106079e+04 1.29e+00 1.59e+03  -0.1 9.89e+00    -  3.93e-01 3.81e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.8749010e+04 8.08e-01 4.41e+03  -0.1 2.64e+00    -  2.58e-01 7.03e-01f  1
  11  2.3717713e+04 6.53e-01 8.84e+03   0.1 3.55e+00    -  6.18e-01 7.95e-01f  1
  12  2.2410497e+04 1.79e-01 7.75e+04   0.0 1.29e+00    -  5.99e-01 9.92e-01f  1
  13  1.3942635e+04 1.52e-01 2.38e+06  -0.4 3.11e+00    -  1.00e+00 6.70e-01f  1
  14  2.8482846e+04 1.20e+00 1.36e+07   0.1 3.62e+00    -  6.97e-01 1.00e+00f  1
  15  1.8948421e+04 1.18e+00 8.34e+00  -0.1 1.91e+00    -  1.00e+00 1.00e+00f  1
  16  1.1195659e+04 8.11e-01 6.23e+05  -0.8 3.56e+00    -  5.17e-01 5.26e-01f  1
  17  7.1830088e+03 6.98e-01 1.59e+07  -0.9 1.79e+00    -  1.00e+00 5.55e-01f  1
  18  1.0142126e+04 4.11e-01 4.95e+00  -0.4 1.01e+00    -  1.00e+00 1.00e+00f  1
  19  6.5861681e+03 2.48e-01 2.10e+07  -1.6 2.16e+00    -  9.06e-01 4.01e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.9102695e+03 2.56e-01 1.21e+07  -1.6 2.16e+00    -  1.00e+00 5.12e-01f  1
  21  2.0713987e+03 4.15e-01 4.55e+06  -2.1 1.21e+00    -  1.00e+00 6.73e-01f  1
  22  1.5045081e+03 1.41e-01 1.19e+06  -1.9 8.59e-01    -  1.00e+00 7.07e-01f  1
  23  1.3133773e+03 7.81e-02 3.14e+04  -1.8 9.51e-01    -  1.00e+00 9.68e-01f  1
  24  1.7983064e+03 2.15e-01 1.94e+05  -1.3 1.71e+00    -  6.19e-01 5.67e-01f  1
  25  1.6734211e+03 1.55e-01 1.34e+05  -1.5 1.96e+00    -  6.51e-01 2.95e-01f  1
  26  1.4925677e+03 2.60e-01 1.38e+05  -1.5 9.67e+00    -  2.06e-01 1.27e-01f  1
  27  1.3698338e+03 2.70e-01 1.43e+05  -1.5 6.24e+00    -  3.36e-01 1.89e-01f  1
  28  1.2599879e+03 1.91e-01 1.79e+05  -1.5 2.08e+00    -  9.07e-01 3.23e-01f  1
  29  1.0883771e+03 1.34e-01 1.21e+06  -1.8 1.62e+00    -  1.00e+00 2.98e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  9.8377025e+02 1.14e-01 6.08e+05  -1.6 2.85e+00    -  5.30e-01 4.12e-01f  1
  31  1.2682965e+03 1.56e-01 5.69e+05  -1.3 1.91e+00    -  1.00e+00 6.90e-01f  1
  32  1.0070332e+03 5.61e-02 7.77e+04  -1.5 8.11e-01    -  9.35e-01 1.00e+00f  1
  33  1.4986301e+03 5.08e-02 1.25e+06  -1.2 7.52e-01    -  5.15e-01 1.00e+00f  1
  34  1.1644485e+03 3.86e-02 3.61e+00  -1.4 1.35e+00    -  1.00e+00 1.00e+00f  1
  35  8.0690438e+02 1.83e-02 2.03e+06  -2.1 1.29e+00    -  1.00e+00 4.27e-01f  1
  36  9.0562092e+02 3.45e-02 2.96e+05  -1.4 1.82e+00    -  9.19e-01 5.07e-01f  1
  37  7.1957379e+02 2.99e-02 1.52e+06  -4.0 1.83e+00    -  6.93e-01 2.29e-01f  1
  38  5.7410710e+02 1.97e-02 1.35e+06  -2.1 6.57e-01    -  1.00e+00 3.09e-01f  1
  39  4.5179665e+02 7.46e-02 5.32e+05  -2.0 1.64e+00    -  1.00e+00 5.12e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  3.0423682e+02 3.29e-02 6.23e+05  -2.5 6.38e-01    -  1.00e+00 4.91e-01f  1
  41  2.0775639e+02 2.40e-02 4.59e+05  -3.1 2.90e-01    -  1.00e+00 4.52e-01f  1
  42  2.4485800e+02 9.11e-03 2.63e+00  -2.2 2.17e-01    -  1.00e+00 1.00e+00f  1
  43  1.4261241e+02 3.29e-03 8.35e+04  -2.8 2.27e-01    -  1.00e+00 8.38e-01f  1
  44  1.0531988e+02 2.68e-03 4.02e+04  -3.2 2.51e-01    -  1.00e+00 7.93e-01f  1
  45  9.9569354e+01 2.13e-03 3.76e+04  -3.3 6.54e-01    -  1.00e+00 3.16e-01f  1
  46  9.0303680e+01 3.52e-03 3.84e+04  -3.7 8.17e-01    -  1.00e+00 4.65e-01f  1
  47  8.8111112e+01 1.50e-02 2.91e+04  -4.0 1.38e+00    -  6.29e-01 3.08e-01f  2
  48  9.2931710e+01 7.17e-03 1.86e+00  -3.2 2.62e-01    -  1.00e+00 1.00e+00h  1
  49  8.7880510e+01 4.72e-03 1.83e+03  -3.3 3.68e-01    -  8.42e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  8.1381769e+01 2.28e-03 1.51e+04  -4.0 1.25e-01    -  1.00e+00 5.82e-01f  1
  51  7.7775645e+01 6.54e-04 1.73e+02  -4.0 1.66e-01    -  1.00e+00 9.89e-01f  1
  52  7.7597825e+01 4.43e-04 1.30e+02  -4.0 2.21e-01    -  1.00e+00 2.50e-01h  3
  53  7.7434028e+01 2.94e-04 8.12e+01  -4.0 6.28e-02    -  1.00e+00 3.45e-01h  1
  54  7.7005885e+01 3.18e-04 4.18e-01  -4.0 1.31e-01    -  1.00e+00 1.00e+00f  1
  55  7.7008806e+01 3.95e-06 7.12e-01  -4.0 1.82e-01    -  1.00e+00 1.00e+00H  1
  56  7.6928758e+01 6.22e-04 1.21e+00  -4.0 1.30e+00    -  1.00e+00 1.14e-01f  4
  57  7.6605221e+01 1.64e-03 6.16e-01  -4.0 3.03e-01    -  1.00e+00 5.00e-01f  2
  58  7.6357466e+01 1.24e-03 5.51e-01  -4.0 1.13e-01    -  1.00e+00 2.50e-01h  3
  59  7.6399546e+01 1.25e-05 3.47e-01  -4.0 5.42e-02    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  7.6060865e+01 2.47e-04 2.16e-01  -4.0 3.86e-02    -  1.00e+00 1.00e+00f  1
  61  7.6030191e+01 2.10e-04 2.31e-01  -4.0 3.39e-02    -  1.00e+00 1.00e+00h  1
  62  7.5772847e+01 9.50e-05 1.34e-01  -4.0 4.83e-02    -  1.00e+00 1.00e+00h  1
  63  7.5617929e+01 1.55e-04 8.60e-01  -4.0 1.91e-01    -  1.00e+00 2.50e-01f  3
  64  7.5775474e+01 8.90e-04 6.40e+03  -3.7 7.07e-01    -  1.00e+00 2.01e-01f  3
  65  7.5240646e+01 3.76e-03 4.65e+03  -4.0 2.87e+00    -  2.56e-01 7.86e-02f  2
  66  7.5120777e+01 4.64e-03 1.18e+04  -3.5 4.66e+00    -  5.58e-01 2.96e-02f  3
  67  7.4880239e+01 4.41e-03 1.66e+03  -4.0 6.04e-01    -  1.00e+00 1.25e-01h  4
  68  7.4618805e+01 4.08e-03 1.63e+03  -4.0 6.30e-01    -  1.00e+00 1.25e-01h  4
  69  7.4618778e+01 5.23e-03 7.12e+03  -3.7 1.19e+00    -  1.00e+00 1.81e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  7.4267259e+01 4.88e-03 8.70e+02  -3.9 1.37e+00    -  8.20e-01 1.65e-01f  3
  71  7.4999592e+01 5.16e-03 1.56e+04  -3.5 2.07e+00    -  9.62e-01 9.83e-02f  3
  72  9.4069340e+01 4.14e-04 3.27e+03  -3.8 4.63e-01    -  7.67e-01 1.00e+00H  1
  73  7.7916529e+01 7.15e-04 2.22e+03  -3.8 4.79e-01    -  3.22e-01 1.00e+00F  1
  74  7.5019272e+01 3.01e-03 1.95e+03  -3.8 2.14e+00    -  1.24e-01 6.93e-02f  2
  75  7.4151901e+01 2.38e-03 3.23e+01  -3.8 1.87e-01    -  9.83e-01 1.00e+00f  1
  76  7.4829190e+01 2.25e-03 1.90e+04  -3.4 9.25e-01    -  1.00e+00 1.11e-01f  3
  77  7.4110341e+01 1.64e-03 4.12e+03  -3.9 2.11e-01    -  1.00e+00 3.67e-01h  2
  78  7.2498601e+01 1.43e-03 1.40e+00  -4.0 1.56e-01    -  1.00e+00 1.00e+00f  1
  79  7.2688635e+01 1.37e-03 1.24e+00  -4.0 3.35e-01    -  1.00e+00 2.50e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  7.2331510e+01 1.00e-03 4.08e-01  -4.0 1.83e-01    -  1.00e+00 5.00e-01h  2
  81  7.2378044e+01 1.75e-05 6.65e-01  -4.0 9.08e-02    -  1.00e+00 1.00e+00H  1
  82  7.2068792e+01 3.30e-04 4.41e-01  -4.0 4.93e-02    -  1.00e+00 1.00e+00f  1
  83  7.2005635e+01 7.93e-04 6.35e-01  -4.0 7.13e-02    -  1.00e+00 1.00e+00f  1
  84  7.1817633e+01 2.67e-04 4.02e-01  -4.0 2.22e-02    -  1.00e+00 1.00e+00h  1
  85  7.1929000e+01 6.52e-05 3.79e-01  -4.0 3.70e-02    -  1.00e+00 1.00e+00h  1
  86  7.1711161e+01 5.83e-05 1.08e-01  -4.0 2.45e-02    -  1.00e+00 1.00e+00h  1
  87  7.1657463e+01 2.06e-05 1.00e-01  -4.0 1.49e-02    -  1.00e+00 1.00e+00h  1
  88  7.1604832e+01 2.96e-05 2.56e-01  -4.0 1.39e-01    -  1.00e+00 2.50e-01f  3
  89  7.1980578e+01 3.57e-03 4.09e+03  -3.7 6.22e-01    -  1.00e+00 4.92e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  7.1807292e+01 4.28e-03 3.40e+03  -3.9 5.89e+00    -  1.26e-01 3.10e-02f  2
  91  7.1718466e+01 4.71e-03 8.67e+02  -3.9 3.59e+00    -  5.15e-01 5.09e-02f  2
  92  7.1737900e+01 4.64e-03 1.60e+02  -3.9 1.26e+00    -  4.70e-01 8.26e-02h  4
  93  7.1884938e+01 4.81e-03 1.07e+03  -3.9 8.81e-01    -  8.38e-01 1.26e-01h  3
  94  7.1348657e+01 6.41e-03 1.01e+03  -3.9 1.99e+00    -  5.57e-01 1.43e-01f  1
  95  8.1294221e+01 1.74e-02 9.87e+03  -3.2 1.09e+00    -  4.37e-01 2.50e-01f  3
  96  7.7137402e+01 3.83e-03 2.77e+03  -3.6 1.87e-01    -  7.80e-01 1.00e+00f  1
  97  8.3447953e+01 9.10e-04 2.38e+02  -3.6 8.58e-01    -  9.14e-01 8.26e-01H  1
  98  8.1328359e+01 1.64e-03 8.26e+01  -3.6 2.54e+00    -  6.54e-01 6.30e-02f  1
  99  7.2593115e+01 1.62e-02 5.95e+01  -3.6 5.14e-01    -  2.80e-01 9.57e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  9.3298298e+01 1.88e-03 4.23e+00  -3.6 7.95e-01    -  1.00e+00 9.05e-01H  1
 101  7.8575915e+01 2.97e-04 4.69e+00  -3.6 2.73e-01    -  1.00e+00 1.00e+00F  1
 102  7.3696663e+01 1.73e-03 2.15e+00  -3.6 5.87e-01    -  3.90e-01 2.35e-01f  1
 103  7.2960813e+01 1.28e-03 1.72e+00  -3.6 1.37e-01    -  1.00e+00 5.00e-01f  2
 104  7.2280795e+01 3.13e-04 7.87e-01  -3.6 4.80e-02    -  1.00e+00 1.00e+00f  1
 105  7.2167278e+01 4.24e-05 1.15e-01  -3.6 1.90e-02    -  1.00e+00 1.00e+00h  1
 106  7.2159866e+01 2.78e-05 1.13e-01  -3.6 1.26e-02    -  1.00e+00 1.00e+00h  1
 107  7.2105194e+01 5.68e-05 1.84e-01  -3.6 2.55e-02    -  1.00e+00 1.00e+00h  1
 108  7.2152012e+01 8.98e-08 4.15e-01  -3.6 6.33e-02    -  1.00e+00 1.00e+00H  1
 109  6.9030217e+01 1.08e-03 3.18e-01  -4.0 6.60e-02    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  6.8762139e+01 1.39e-03 4.28e-01  -4.0 3.92e-02    -  1.00e+00 1.00e+00h  1
 111  6.8697754e+01 1.07e-04 3.23e-01  -4.0 2.11e-02    -  1.00e+00 1.00e+00h  1
 112  6.8612247e+01 4.03e-05 6.01e-02  -4.0 2.00e-02    -  1.00e+00 1.00e+00h  1
 113  6.8684033e+01 5.12e-08 3.25e-01  -4.0 2.36e-02    -  1.00e+00 1.00e+00H  1
 114  6.8489754e+01 5.20e-05 1.34e-01  -4.0 2.61e-02    -  1.00e+00 1.00e+00f  1
 115  6.8484035e+01 5.77e-05 4.59e-01  -4.0 1.21e-01    -  1.00e+00 1.25e-01f  4
 116  6.8363837e+01 1.23e-04 2.35e-01  -4.0 3.80e-02    -  1.00e+00 1.00e+00h  1
 117  6.8308185e+01 9.24e-05 3.33e-01  -4.0 2.65e-01    -  1.00e+00 1.25e-01h  4
 118  6.8264073e+01 1.11e-04 4.43e-01  -4.0 2.92e-01    -  1.00e+00 1.18e-01h  4
 119  6.8238183e+01 1.25e-04 7.93e-01  -4.0 3.51e-01    -  1.00e+00 6.06e-02h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  6.8025202e+01 2.12e-03 1.01e+00  -4.0 3.49e-01    -  1.00e+00 7.56e-01f  1
 121  6.9520246e+01 2.00e-03 1.14e+00  -4.0 2.55e+00    -  1.04e-01 3.82e-02h  4
 122  6.7483635e+01 1.82e-04 4.99e-01  -4.1 5.52e-02    -  1.00e+00 1.00e+00f  1
 123  6.7892593e+01 6.93e-05 3.37e-01  -4.0 2.68e-02    -  1.00e+00 1.00e+00h  1
 124  6.7899114e+01 6.52e-06 6.25e-01  -4.0 3.37e-02    -  1.00e+00 1.00e+00H  1
 125  6.7802309e+01 1.07e-04 5.56e-01  -4.0 3.47e-02    -  1.00e+00 1.00e+00f  1
 126  6.7770880e+01 9.46e-05 5.73e-01  -4.0 1.16e-01    -  1.00e+00 1.25e-01h  4
 127  6.7758000e+01 4.84e-05 2.19e-01  -4.0 1.62e-02    -  1.00e+00 1.00e+00h  1
 128  6.7647852e+01 2.53e-04 5.48e-01  -4.0 4.67e-02    -  1.00e+00 1.00e+00h  1
 129  6.7561877e+01 2.80e-04 1.76e+03  -4.1 2.45e-01    -  1.00e+00 1.25e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
