This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    74701
Number of nonzeros in inequality constraint Jacobian.:    23032
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    25614
                     variables with only lower bounds:     5904
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    20304
Total number of inequality constraints...............:     6932
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     6932

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  4.2589077e+01 4.02e-03 4.37e+04  -2.5 7.61e-01    -  4.72e-01 6.74e-01H  1
  48  4.1995493e+01 6.40e-04 5.20e+04  -2.5 1.37e-01    -  7.88e-02 1.00e+00H  1
  49  3.7120188e+01 7.22e-03 5.69e-01  -2.5 1.92e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  3.6969428e+01 4.28e-04 1.57e-01  -2.5 7.59e-02    -  1.00e+00 1.00e+00h  1
  51  3.6683138e+01 1.09e-03 8.11e-01  -2.5 1.54e-01    -  5.56e-01 1.00e+00f  1
  52  3.6322585e+01 2.33e-03 2.64e+00  -2.5 1.03e+00    -  6.97e-01 1.94e-01f  2
  53  3.6235861e+01 1.58e-03 2.94e+00  -2.5 1.08e+00    -  5.34e-01 1.44e-01f  3
  54  3.7339864e+01 4.53e-05 7.04e-01  -2.5 2.58e-01    -  1.00e+00 1.00e+00H  1
  55  2.5950843e+01 8.45e-04 1.07e+05  -3.2 9.02e-02    -  1.00e+00 6.04e-01f  1
  56  1.9344245e+01 7.42e-04 6.72e+04  -3.6 1.43e-01    -  1.00e+00 5.50e-01f  1
  57  1.5084243e+01 8.36e-04 3.22e+04  -4.0 7.70e-02    -  1.00e+00 6.16e-01f  1
  58  1.9598228e+01 9.28e-04 2.40e+03  -3.0 1.00e-01    -  9.75e-01 1.00e+00f  1
  59  1.5756404e+01 6.68e-04 2.41e+04  -3.5 5.45e-02    -  1.00e+00 6.83e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.3430232e+01 6.30e-04 1.67e+04  -4.0 7.62e-02    -  1.00e+00 6.25e-01f  1
  61  1.2418019e+01 3.49e-04 4.84e+03  -4.0 6.19e-02    -  1.00e+00 7.10e-01f  1
  62  1.4162567e+01 9.44e-04 8.52e+02  -3.4 7.56e-02    -  9.71e-01 1.00e+00f  1
  63  1.3606012e+01 9.09e-04 2.23e+02  -3.5 7.77e-02    -  9.69e-01 1.00e+00f  1
  64  1.3267275e+01 4.79e-04 1.76e+01  -3.5 3.48e-02    -  9.21e-01 1.00e+00f  1
  65  1.2168970e+01 1.69e-04 6.93e+03  -4.0 3.86e-02    -  1.00e+00 6.76e-01f  1
  66  1.4036633e+01 5.17e-04 2.24e-01  -3.4 9.20e-02    -  1.00e+00 1.00e+00f  1
  67  1.3466575e+01 5.94e-04 8.39e+02  -3.5 1.89e-01    -  8.40e-01 7.36e-01f  1
  68  1.3342946e+01 8.11e-04 1.43e+03  -3.5 5.46e-01    -  8.24e-01 2.19e-01f  2
  69  1.3228669e+01 8.29e-04 8.70e+02  -3.5 1.97e-01    -  1.00e+00 4.75e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.2847561e+01 5.06e-04 9.23e-01  -3.5 9.12e-02    -  8.45e-01 1.00e+00f  1
  71  1.2759692e+01 2.83e-04 1.53e+00  -3.5 1.93e-01    -  1.00e+00 5.00e-01f  2
  72  1.2719347e+01 9.37e-04 1.21e+00  -3.5 3.86e-01    -  5.67e-01 4.17e-01f  1
