This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    46101
Number of nonzeros in inequality constraint Jacobian.:    22776
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    15824
                     variables with only lower bounds:     3649
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    12549
Total number of inequality constraints...............:     4292
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     4292

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7162430e+02 1.80e+01 9.90e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.2913955e+03 1.68e+01 2.64e+02   0.1 1.73e+01    -  3.05e-02 6.53e-02f  1
   2  3.8280856e+03 1.59e+01 3.17e+02   0.3 1.41e+01    -  6.91e-02 5.23e-02f  1
   3  5.1942474e+03 1.50e+01 3.56e+02   0.2 1.46e+01    -  8.15e-02 6.00e-02f  1
   4  7.5942139e+03 1.32e+01 4.53e+02   0.2 1.13e+01    -  2.38e-01 1.18e-01f  1
   5  1.2903890e+04 1.10e+01 5.16e+02   0.5 9.04e+00    -  3.75e-01 1.68e-01f  1
   6  1.4426009e+04 9.53e+00 5.44e+02   0.1 7.79e+00    -  2.89e-01 1.33e-01h  1
   7  1.6128834e+04 8.07e+00 4.38e+02   0.5 1.11e+01    -  2.53e-01 1.53e-01f  1
   8  2.7348497e+04 5.28e+00 4.44e+02   0.7 6.41e+00    -  2.08e-01 3.46e-01f  1
   9  3.3547716e+04 2.81e+00 7.91e+02   0.6 3.72e+00    -  5.28e-01 4.67e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.6876096e+04 2.16e+00 4.22e+02  -4.0 7.57e+00    -  7.83e-02 2.30e-01f  1
  11  2.4976131e+04 1.47e+00 3.70e+02   0.6 4.89e+00    -  2.18e-01 3.20e-01f  1
  12  2.4128966e+04 1.34e+00 1.18e+03   0.5 4.46e+00    -  4.93e-01 9.20e-02f  1
  13  2.2126612e+04 6.04e-01 1.50e+03   0.4 3.13e+00    -  8.50e-01 5.48e-01f  1
  14  1.9489340e+04 5.13e-01 1.33e+03  -0.9 6.66e+00    -  3.17e-01 1.51e-01f  1
  15  1.8490566e+04 4.74e-01 1.25e+03  -1.8 5.82e+00    -  4.09e-01 7.49e-02f  1
  16  1.5792150e+04 3.87e-01 1.04e+03  -1.0 2.11e+01    -  2.23e-01 1.84e-01f  1
  17  1.5630426e+04 3.83e-01 1.25e+03  -0.7 1.42e+01    -  2.75e-01 1.10e-02f  1
  18  1.4891914e+04 3.66e-01 1.86e+03   0.1 3.20e+01    -  1.60e-01 4.41e-02f  1
  19  1.3067853e+04 3.17e-01 1.60e+03  -0.6 2.24e+01    -  1.26e-01 1.33e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.1536016e+04 2.84e-01 1.44e+03  -1.3 2.95e+01    -  1.31e-01 1.05e-01f  1
  21  1.0343036e+04 2.47e-01 1.54e+03  -0.5 2.59e+01    -  2.62e-01 1.30e-01f  1
  22  9.4996048e+03 2.12e-01 1.63e+03  -0.6 1.66e+01    -  3.14e-01 1.42e-01f  1
  23  8.1722853e+03 1.51e-01 9.97e+02  -0.5 2.32e+01    -  2.23e-01 2.85e-01f  1
  24  7.6917398e+03 1.36e-01 1.35e+03  -0.8 2.80e+01    -  3.42e-01 1.02e-01f  1
  25  8.1356522e+03 9.17e-02 2.55e+02   0.1 8.88e+00    -  3.13e-01 3.53e-01f  1
  26  7.5050889e+03 8.40e-02 1.13e+03  -0.6 2.60e+01    -  3.21e-01 1.51e-01f  1
  27  7.7033737e+03 7.69e-02 3.68e+03   0.2 2.37e+01    -  2.97e-01 2.22e-01f  1
  28  9.0430968e+03 1.07e-01 3.65e+03  -0.0 1.60e+01    -  2.18e-01 4.24e-01H  1
  29  7.9676430e+03 8.22e-02 1.00e+04  -0.1 2.05e+00    -  5.73e-01 3.10e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  7.1427480e+03 5.87e-02 2.57e+04  -0.1 1.71e+00    -  6.94e-01 4.08e-01f  1
  31  6.7390723e+03 2.66e-02 1.34e+04  -0.1 2.26e+00    -  7.09e-01 8.55e-01f  1
  32  6.6141147e+03 7.08e-03 2.15e+05  -0.1 2.16e+00    -  1.00e+00 7.22e-01f  1
  33  5.6070296e+03 1.23e-02 4.69e+05  -0.5 4.49e+00    -  1.00e+00 6.18e-01f  1
  34  5.4328479e+03 1.89e-02 1.19e+06  -0.1 9.09e+00    -  5.97e-01 4.35e-01f  1
  35  6.4090827e+03 9.89e-02 3.77e+06   0.0 9.00e+00    -  2.29e-01 5.46e-01f  1
  36  5.7322596e+03 6.01e-02 2.71e+04  -0.2 4.02e+00    -  5.99e-01 4.36e-01f  1
  37  5.1246227e+03 4.87e-02 1.04e+06  -0.2 2.16e+00    -  4.12e-01 4.75e-01f  1
  38  4.9547882e+03 1.34e-02 1.20e+05  -0.2 2.71e+00    -  7.29e-01 7.21e-01f  1
  39  4.9342572e+03 1.03e-02 5.69e+06  -0.2 1.59e+01    -  4.43e-01 1.60e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  4.7837920e+03 2.00e-02 5.14e+06  -0.2 1.17e+01    -  6.05e-01 4.55e-01f  1
  41  4.5776601e+03 1.90e-02 9.33e+05  -0.4 1.71e+01    -  3.41e-01 1.13e-01f  1
  42  4.0949687e+03 3.62e-02 2.62e+06  -1.0 9.48e+00    -  3.20e-01 2.33e-01f  1
  43  3.8656995e+03 2.79e-02 8.68e+04  -0.3 5.11e+00    -  6.48e-01 3.55e-01f  1
  44  3.6914273e+03 2.30e-02 2.54e+05  -0.4 3.42e+00    -  4.27e-01 3.56e-01f  1
  45  3.3796822e+03 1.52e-02 3.63e+04  -0.6 4.95e+00    -  3.77e-01 3.84e-01f  1
  46  3.5506033e+03 1.40e-02 1.30e+07  -0.2 1.35e+01    -  5.87e-01 1.47e-01f  1
