This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:     5480
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     1572
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1572

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7338185e+02 1.49e+01 2.93e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.1124232e+03 1.40e+01 7.89e+00  -0.0 6.30e+00    -  9.39e-03 6.43e-02f  1
   2  4.5418948e+03 1.35e+01 3.77e+01   1.0 4.84e+01    -  1.85e-03 3.25e-02f  1
   3  3.3459187e+03 1.20e+01 3.49e+01  -0.6 4.79e+00    -  6.07e-02 1.14e-01f  1
   4  3.9974953e+03 9.61e+00 1.45e+01   0.1 4.29e+00    -  4.64e-01 1.97e-01f  1
   5  3.6766129e+03 5.06e+00 1.25e+01  -0.4 3.38e+00    -  3.42e-01 4.74e-01h  1
   6  5.8864929e+03 3.97e+00 3.83e+01  -0.4 2.66e+00    -  5.89e-01 9.25e-01h  1
   7  3.3142677e+03 2.98e+00 1.96e+01  -0.6 1.06e+00    -  9.79e-01 9.90e-01f  1
   8  2.3171759e+03 8.58e-01 1.04e+04  -0.6 8.81e-01    -  6.69e-01 7.68e-01f  1
   9  1.4802925e+03 1.47e-01 2.69e+04  -0.8 4.10e-01    -  1.00e+00 8.87e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.0207634e+03 4.38e-01 7.27e+04  -0.5 1.98e+00    -  8.67e-01 8.84e-01f  1
  11  1.5533252e+03 3.73e-01 7.69e+00  -0.6 4.36e-01    -  1.00e+00 1.00e+00f  1
  12  8.0311743e+02 1.11e-01 1.96e+06  -1.3 3.39e-01    -  8.85e-01 7.17e-01f  1
  13  6.3831392e+02 8.79e-02 6.81e+04  -1.1 6.05e-01    -  1.00e+00 7.20e-01f  1
  14  4.1018615e+02 8.05e-02 2.13e+06  -1.6 5.52e-01    -  1.00e+00 6.36e-01f  1
  15  3.1880905e+02 2.26e-01 5.51e+00  -1.6 7.36e-01    -  1.00e+00 1.00e+00f  1
  16  5.4556378e+02 1.15e-01 1.74e+06  -1.1 5.25e-01    -  6.72e-01 1.00e+00f  1
  17  4.2733761e+02 4.05e-02 1.77e+00  -1.2 1.86e-01    -  1.00e+00 1.00e+00f  1
  18  2.6508603e+02 6.55e-03 1.39e+04  -1.6 1.91e-01    -  1.00e+00 9.96e-01f  1
  19  2.0862648e+02 4.21e-03 1.28e+05  -1.8 3.28e-01    -  1.00e+00 8.92e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.5133281e+02 5.95e-02 2.03e+05  -1.5 7.23e-01    -  5.52e-01 6.71e-01f  1
  21  2.1807583e+02 3.88e-02 1.57e+00  -1.7 3.23e-01    -  1.00e+00 1.00e+00f  1
  22  1.7431482e+02 1.84e-02 7.77e+05  -2.6 1.19e-01    -  1.00e+00 5.24e-01f  1
  23  1.4723076e+02 8.17e-03 4.63e+05  -3.6 1.28e-01    -  1.00e+00 5.43e-01f  1
  24  1.3295399e+02 3.21e-03 1.94e+05  -4.0 1.28e-01    -  1.00e+00 5.95e-01f  1
  25  1.3275091e+02 3.41e-03 2.13e+04  -2.6 4.48e-01    -  7.84e-01 3.25e-01f  1
  26  1.3383457e+02 3.08e-03 1.27e+05  -2.2 6.72e-01    -  3.93e-01 7.01e-02f  1
  27  1.3240976e+02 6.91e-03 1.32e+04  -2.6 3.57e-01    -  8.46e-01 4.95e-01f  1
  28  2.0296416e+02 8.67e-02 7.90e+05  -1.8 9.15e-01    -  2.04e-01 8.04e-01f  1
