This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:   115261
Number of nonzeros in inequality constraint Jacobian.:    24856
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    39498
                     variables with only lower bounds:     9102
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    31302
Total number of inequality constraints...............:     7108
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     7108

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  2.4119633e+02 7.20e-03 2.82e+04  -2.0 4.04e-01    -  7.13e-01 6.07e-01f  1
  48  2.3891406e+02 7.52e-03 2.52e+04  -2.0 1.40e+00    -  1.68e-01 1.04e-01f  2
  49  2.3588432e+02 7.76e-03 1.97e+04  -2.0 1.30e+00    -  9.71e-01 2.18e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.3417081e+02 1.29e-02 1.66e+04  -2.0 2.90e+00    -  1.66e-01 1.56e-01f  2
  51  2.3139831e+02 1.71e-02 8.53e+03  -2.0 1.57e+00    -  5.66e-01 4.87e-01f  1
  52  2.2898198e+02 1.60e-02 7.13e+03  -2.0 1.35e+00    -  3.86e-01 1.65e-01f  3
  53  2.2316473e+02 9.29e-03 2.95e+00  -2.0 4.53e-01    -  4.06e-01 1.00e+00f  1
  54  2.2085662e+02 4.31e-03 1.87e+00  -2.0 3.17e-01    -  9.19e-01 6.35e-01f  1
  55  1.7369891e+02 1.91e-03 1.80e+05  -2.5 3.45e-01    -  9.91e-01 7.04e-01f  1
  56  1.6014990e+02 1.04e-02 1.06e+05  -2.5 1.04e+00    -  9.99e-01 5.15e-01f  1
  57  1.4316753e+02 1.75e-02 4.31e+04  -2.7 8.48e-01    -  1.00e+00 7.96e-01f  1
  58  1.6372117e+02 1.23e-02 6.47e+04  -2.3 2.78e-01    -  6.29e-01 8.19e-01f  1
  59  1.5107731e+02 6.45e-03 1.96e-01  -2.5 2.16e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.3652534e+02 6.81e-04 2.87e+03  -2.7 7.51e-02    -  9.79e-01 1.00e+00f  1
  61  1.2729034e+02 8.91e-04 2.68e+04  -3.1 2.90e-01    -  1.00e+00 7.52e-01f  1
  62  1.3152698e+02 1.37e-03 8.59e+04  -2.4 1.18e+00    -  5.40e-01 1.62e-01f  1
  63  1.3110442e+02 2.81e-03 4.24e+04  -2.8 7.12e-01    -  5.00e-01 4.18e-01f  2
  64  1.3081865e+02 2.99e-03 1.91e+04  -2.8 7.75e-01    -  5.23e-01 2.57e-01f  2
  65  1.3038596e+02 5.39e-03 1.23e+04  -2.8 5.43e-01    -  3.59e-01 3.83e-01f  1
  66  1.3004954e+02 6.39e-03 6.15e+03  -2.8 8.76e-01    -  4.66e-01 2.63e-01f  2
  67  1.2955349e+02 3.26e-03 1.43e+03  -2.8 4.12e-01    -  7.20e-01 5.21e-01F  1
  68  1.2849727e+02 5.37e-03 8.59e+02  -2.8 1.91e-01    -  4.69e-01 6.11e-01f  1
  69  1.2801732e+02 3.31e-03 5.88e+02  -2.8 1.86e-01    -  3.30e-01 3.78e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.2776542e+02 2.61e-03 6.06e+02  -2.8 4.73e-01    -  9.25e-03 1.44e-01f  2
  71  1.2744034e+02 2.14e-03 5.42e+02  -2.8 5.89e-01    -  1.52e-01 3.44e-01f  1
  72  1.2677978e+02 3.62e-03 4.89e+02  -2.8 3.09e+00    -  9.65e-02 8.85e-02f  1
  73  1.3925072e+02 3.78e-03 3.33e+05  -1.9 1.78e+00    -  4.04e-01 1.05e-01f  1
  74  1.4025776e+02 3.50e-03 1.48e+05  -2.5 5.72e-01    -  5.92e-01 2.50e-01h  2
  75  1.4217393e+02 5.46e-03 3.54e-01  -2.5 1.27e-01    -  1.00e+00 1.00e+00f  1
  76  1.4140510e+02 2.57e-03 1.71e-01  -2.5 8.64e-02    -  1.00e+00 1.00e+00f  1
  77  1.4155577e+02 2.62e-04 3.56e-01  -2.5 1.90e-01    -  1.00e+00 1.00e+00H  1
  78  1.3464280e+02 1.43e-02 2.50e+04  -2.7 3.91e-01    -  9.90e-01 7.46e-01f  1
  79  1.3196369e+02 1.10e-02 3.60e+04  -2.8 6.53e-01    -  9.51e-01 2.70e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.3045461e+02 1.16e-02 3.07e+04  -2.8 4.10e-01    -  4.71e-01 1.58e-01f  2
  81  1.2658364e+02 3.95e-03 1.15e+02  -2.8 1.04e-01    -  8.31e-01 1.00e+00f  1
  82  1.4485815e+02 1.12e-02 8.50e-01  -2.5 1.18e-01    -  1.00e+00 1.00e+00f  1
  83  1.3452366e+02 7.20e-03 1.80e-01  -2.6 1.03e-01    -  1.00e+00 1.00e+00f  1
  84  1.3446659e+02 6.87e-04 1.00e-01  -2.6 4.27e-02    -  1.00e+00 1.00e+00h  1
  85  1.2973145e+02 5.23e-04 3.70e+03  -2.7 1.63e-01    -  9.24e-01 8.50e-01f  1
  86  1.2945188e+02 5.65e-04 1.03e+04  -2.7 1.11e+00    -  1.00e+00 1.07e-01f  3
  87  1.2390146e+02 8.52e-03 3.43e+04  -3.0 3.47e-01    -  1.00e+00 6.59e-01f  1
  88  1.1514618e+02 8.83e-03 8.12e-01  -3.2 2.20e-01    -  1.00e+00 1.00e+00f  1
  89  1.2035678e+02 2.36e-03 1.39e+03  -2.9 9.56e-02    -  9.74e-01 1.00e+00f  1
