This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:     5480
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     1572
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1572

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7338185e+02 1.49e+01 2.93e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.1713778e+03 1.40e+01 3.48e+01  -0.0 6.30e+00    -  9.39e-03 6.43e-02f  1
   2  7.9378060e+03 1.32e+01 6.79e+01   1.0 3.38e+01    -  9.37e-03 5.25e-02f  1
   3  5.9856847e+03 1.17e+01 6.55e+01  -0.4 5.29e+00    -  7.37e-02 1.20e-01f  1
   4  5.5481014e+03 1.10e+01 4.73e+01   0.0 5.42e+00    -  2.48e-01 5.32e-02f  1
   5  6.0391274e+03 8.09e+00 3.59e+01   0.2 4.24e+00    -  3.22e-01 2.67e-01f  1
   6  5.4458194e+03 5.50e+00 3.32e+01  -0.2 3.74e+00    -  4.77e-01 3.20e-01f  1
   7  4.8628306e+03 2.77e+00 5.81e+01  -0.4 2.50e+00    -  9.33e-01 4.96e-01h  1
   8  4.1881785e+03 6.08e-01 4.76e+01  -0.3 2.99e+00    -  7.43e-01 7.81e-01f  1
   9  3.7347648e+03 5.27e-01 2.11e+02  -0.4 4.81e+00    -  3.51e-01 1.32e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.2488748e+03 2.76e-01 2.87e+02  -0.3 8.99e-01    -  6.34e-01 4.99e-01f  1
  11  2.3879863e+03 1.63e-01 4.80e+02  -1.0 8.85e-01    -  1.00e+00 4.31e-01f  1
  12  1.8737968e+03 1.15e-01 1.16e+03  -0.8 1.61e+00    -  1.00e+00 4.51e-01f  1
  13  1.2764465e+03 2.18e-01 9.97e+02  -1.2 1.22e+00    -  1.00e+00 5.83e-01f  1
  14  8.9662938e+02 1.61e-01 2.42e+02  -1.3 6.69e-01    -  1.00e+00 9.24e-01f  1
  15  7.7326773e+02 1.02e-01 4.26e+03  -1.7 4.32e-01    -  8.38e-01 5.09e-01f  1
  16  6.9929888e+02 4.44e-02 7.45e+03  -1.9 2.30e-01    -  1.00e+00 5.79e-01f  1
  17  6.5495789e+02 2.62e-02 1.11e+04  -2.3 4.24e-01    -  1.00e+00 4.69e-01f  1
  18  6.2959345e+02 1.92e-02 1.04e+04  -2.6 1.56e+00    -  4.87e-01 2.76e-01f  1
  19  6.3998653e+02 3.09e-02 3.50e+04  -1.5 3.02e+00    -  3.05e-01 1.86e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  6.5681020e+02 2.83e-02 1.89e+05  -1.2 2.90e+00    -  4.75e-01 1.25e-01f  1
  21  6.5721929e+02 3.73e-02 2.48e+05  -1.2 1.08e+01    -  2.22e-01 7.61e-02f  1
  22  6.4328798e+02 5.07e-02 2.38e+05  -1.6 1.61e+01    -  7.63e-02 5.68e-02f  1
  23  6.2328816e+02 4.58e-02 2.33e+05  -1.6 2.55e+00    -  4.75e-01 2.23e-01f  1
  24  6.8688213e+02 5.75e-02 3.26e+05  -0.7 1.31e+01    -  1.35e-01 8.58e-02f  1
  25  6.6307296e+02 4.37e-02 3.05e+05  -1.5 4.16e+00    -  2.31e-01 1.51e-01f  1
  26  6.2197500e+02 3.15e-02 2.83e+05  -1.5 1.82e+00    -  7.77e-01 4.65e-01f  1
  27  6.7062135e+02 6.67e-02 6.01e+04  -1.2 1.15e+00    -  5.31e-01 6.49e-01f  1
  28  5.7898878e+02 8.20e-02 2.76e+01  -1.4 4.73e-01    -  1.00e+00 1.00e+00f  1
  29  5.0318502e+02 4.50e-02 2.75e+05  -1.6 9.80e-01    -  9.21e-01 5.36e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  6.6546667e+02 7.12e-02 4.13e+05  -0.8 2.38e+00    -  2.68e-01 2.83e-01f  1
  31  6.0858400e+02 3.87e-02 4.72e+05  -1.3 1.58e+00    -  7.26e-01 4.19e-01f  1
  32  5.6898496e+02 1.22e-01 2.39e+05  -1.3 2.27e+00    -  7.19e-01 5.62e-01f  1
  33  5.8921476e+02 4.59e-02 1.15e+04  -1.3 1.30e+00    -  8.03e-01 1.00e+00H  1
  34  7.0183870e+02 1.38e-01 2.00e+01  -1.0 9.88e-01    -  1.00e+00 1.00e+00f  1
  35  6.0714460e+02 1.84e-02 1.23e+01  -1.1 5.30e-01    -  1.00e+00 1.00e+00f  1
  36  4.1741586e+02 2.27e-02 1.36e+06  -1.6 1.10e+00    -  9.73e-01 7.13e-01f  1
  37  6.4785577e+02 1.12e-01 1.76e+06  -0.8 3.30e+00    -  6.06e-01 4.06e-01f  1
  38  6.0451506e+02 1.79e-01 2.24e+05  -1.1 1.87e+00    -  7.68e-01 6.06e-01f  1
  39  5.4113771e+02 1.47e-01 7.88e+04  -1.1 7.38e-01    -  1.00e+00 8.24e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  5.1488968e+02 4.23e-02 6.19e+00  -1.1 2.75e-01    -  1.00e+00 1.00e+00f  1
  41  3.3762978e+02 1.52e-02 2.20e+06  -1.8 5.96e-01    -  1.00e+00 6.34e-01f  1
  42  4.1033660e+02 1.25e-01 1.97e+06  -1.2 3.61e+00    -  1.00e+00 3.53e-01f  1
  43  3.5660011e+02 6.17e-02 3.54e+01  -1.4 9.09e-01    -  1.00e+00 1.00e+00f  1
  44  3.2893458e+02 3.24e-02 2.51e+01  -1.4 5.92e-01    -  9.39e-01 7.29e-01f  1
  45  2.6280131e+02 2.14e-02 2.57e+06  -2.3 2.32e-01    -  1.00e+00 3.39e-01f  1
  46  1.8718129e+02 1.11e-02 1.33e+06  -2.5 4.99e-01    -  1.00e+00 5.16e-01f  1
  47  1.6571735e+02 1.77e-02 5.75e+05  -2.1 1.25e+00    -  1.00e+00 3.50e-01f  1
  48  1.5526316e+02 1.73e-02 2.03e+05  -1.9 1.13e+00    -  7.57e-01 4.54e-01f  1
  49  1.3765952e+02 3.05e-02 1.69e+05  -2.1 1.34e+00    -  1.00e+00 6.23e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.6978675e+02 6.86e-02 3.40e+05  -1.7 2.56e+00    -  7.98e-01 4.71e-01f  1
  51  1.5998212e+02 3.86e-02 1.22e+05  -1.9 8.10e-01    -  5.75e-01 4.71e-01f  1
  52  1.4156003e+02 4.08e-02 7.06e+04  -1.9 8.12e-01    -  7.05e-01 1.00e+00f  1
  53  1.3994854e+02 1.04e-02 8.17e+00  -1.9 4.45e-01    -  1.00e+00 8.90e-01f  1
  54  1.1492148e+02 6.79e-03 3.06e+05  -2.3 6.29e-01    -  9.96e-01 5.96e-01f  1
  55  1.0389338e+02 5.15e-02 1.99e+05  -2.8 1.42e+00    -  8.09e-01 6.10e-01f  1
  56  8.7718492e+01 2.01e-02 2.97e+03  -2.5 4.38e-01    -  1.00e+00 9.71e-01f  1
  57  8.4045540e+01 1.02e-02 6.50e+04  -2.7 1.91e-01    -  1.00e+00 4.54e-01f  1
  58  7.4921843e+01 2.71e-03 6.01e+04  -3.6 1.37e-01    -  1.00e+00 7.49e-01f  1
  59  7.2353042e+01 1.79e-03 2.91e+04  -4.0 1.91e-01    -  7.68e-01 5.74e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  7.1807806e+01 1.50e-03 2.60e+04  -4.0 2.65e-01    -  4.95e-01 1.52e-01f  1
  61  7.1683048e+01 1.80e-03 1.45e+04  -3.1 7.21e-01    -  6.04e-01 1.18e-01f  1
  62  7.1227616e+01 5.41e-03 1.31e+03  -3.3 5.12e-01    -  9.58e-01 5.00e-01f  2
  63  7.0127542e+01 4.41e-03 1.23e+04  -3.6 7.64e-01    -  1.00e+00 3.56e-01f  1
  64  7.8221303e+01 2.29e-03 4.28e+04  -2.9 5.49e-01    -  3.95e-01 8.15e-01H  1
  65  7.2107944e+01 1.11e-02 5.74e+00  -3.1 2.69e-01    -  1.00e+00 1.00e+00f  1
  66  7.0952391e+01 3.88e-03 4.47e+00  -3.1 1.68e-01    -  4.89e-01 7.86e-01f  1
  67  7.0268217e+01 4.88e-04 1.38e+00  -3.1 8.00e-02    -  1.00e+00 1.00e+00f  1
