This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    19061
Number of nonzeros in inequality constraint Jacobian.:     5912
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6568
                     variables with only lower bounds:     1517
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5217
Total number of inequality constraints...............:     1796
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1796

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.5910008e+02 6.84e+00 2.95e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  7.9429135e+02 6.06e+00 2.01e+01  -0.6 4.35e+00    -  2.09e-02 1.14e-01f  1
   2  1.9583374e+03 5.63e+00 4.46e+01   0.1 4.94e+00    -  5.76e-01 7.03e-02f  1
   3  4.1057472e+03 4.10e+00 3.22e+01   0.4 3.40e+00    -  2.22e-01 2.72e-01f  1
   4  4.1323984e+03 1.05e+00 3.57e+01   0.1 1.78e+00    -  3.57e-01 7.43e-01f  1
   5  3.0593595e+03 7.32e-01 3.12e+01  -0.5 3.22e+00    -  3.60e-01 3.05e-01f  1
   6  3.1071059e+03 3.60e-01 2.48e+01  -0.1 7.61e-01    -  6.86e-01 5.08e-01f  1
   7  2.7683991e+03 6.28e-02 2.03e+01  -0.2 7.32e-01    -  7.50e-01 8.26e-01f  1
   8  2.4806659e+03 2.79e-02 2.48e+01  -0.4 9.67e-01    -  6.24e-01 5.55e-01f  1
   9  2.0684516e+03 1.19e-02 2.70e+01  -0.5 4.99e-01    -  9.72e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.9439884e+03 1.90e-02 2.31e+01  -0.5 4.48e-01    -  9.15e-01 1.00e+00f  1
  11  1.7046384e+03 3.52e-03 1.08e+01  -0.6 1.11e-01    -  7.83e-01 1.00e+00f  1
  12  1.4149673e+03 1.35e-03 4.46e+00  -0.9 2.55e-01    -  1.00e+00 7.32e-01f  1
  13  1.3821628e+03 2.12e-03 1.27e+01  -0.6 1.06e+00    -  9.08e-01 3.01e-01f  2
  14  1.3269141e+03 1.07e-02 1.93e+01  -0.7 3.22e-01    -  9.54e-01 1.00e+00f  1
  15  1.2384977e+03 5.98e-03 8.44e+00  -0.7 4.68e-01    -  8.38e-01 5.28e-01f  1
  16  9.8571680e+02 6.28e-03 1.58e+01  -0.9 3.75e-01    -  9.86e-01 8.97e-01f  1
  17  1.2253770e+03 2.61e-03 1.36e+01  -0.6 3.98e-01    -  8.87e-01 7.66e-01f  1
  18  9.9862494e+02 4.05e-03 8.78e+00  -0.8 2.39e-01    -  9.91e-01 1.00e+00f  1
  19  1.0031463e+03 3.91e-03 1.20e+01  -0.8 1.89e-01    -  7.74e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  8.1334477e+02 2.33e-03 6.96e+00  -1.1 1.82e-01    -  1.00e+00 6.12e-01f  1
  21  7.3315281e+02 7.89e-03 1.01e+01  -1.1 3.51e-01    -  8.70e-01 6.88e-01f  1
  22  8.6379630e+02 3.68e-03 1.12e+01  -0.8 2.81e-01    -  1.00e+00 7.05e-01f  1
  23  7.8718597e+02 2.51e-03 1.33e+01  -0.9 8.04e-02    -  9.10e-01 1.00e+00f  1
  24  6.8854097e+02 7.17e-04 3.34e+00  -1.0 7.78e-02    -  9.89e-01 1.00e+00f  1
  25  5.7495009e+02 2.27e-03 6.17e+00  -1.3 2.39e-01    -  9.93e-01 6.90e-01f  1
  26  4.9803133e+02 2.24e-03 9.58e+00  -1.4 5.69e-01    -  1.00e+00 4.88e-01f  1
  27  4.6727252e+02 1.94e-03 1.08e+01  -1.5 8.45e-01    -  7.10e-01 4.88e-01F  1
  28  4.4378137e+02 1.38e-03 1.06e+01  -1.5 3.86e-01    -  7.15e-01 2.97e-01f  1
  29  3.9699191e+02 4.50e-04 4.01e+00  -1.7 1.39e-01    -  5.46e-01 6.07e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  3.7662991e+02 5.02e-04 9.13e+00  -1.8 1.98e-01    -  1.00e+00 4.57e-01f  1
  31  4.1034955e+02 4.39e-04 1.34e+01  -1.5 9.43e-02    -  7.32e-01 1.00e+00f  1
  32  3.8441433e+02 5.91e-04 4.39e+00  -1.6 8.45e-02    -  1.00e+00 8.59e-01f  1
  33  3.7454017e+02 3.73e-04 4.57e+00  -1.6 8.50e-02    -  9.96e-01 8.19e-01f  1
  34  3.6680585e+02 3.72e-04 3.43e+00  -1.6 5.89e-02    -  1.00e+00 8.89e-01f  1
  35  3.4296023e+02 4.84e-04 3.96e+00  -1.8 7.69e-02    -  9.96e-01 9.28e-01f  1
  36  3.2166715e+02 1.29e-03 7.72e+00  -2.1 1.70e-01    -  5.75e-01 7.22e-01f  1
  37  3.2851703e+02 9.47e-04 6.90e+00  -1.7 1.89e-01    -  1.00e+00 3.95e-01f  1
  38  3.4056177e+02 1.17e-03 6.00e+00  -1.7 1.10e-01    -  7.44e-01 8.82e-01f  1
  39  3.2004610e+02 5.94e-04 4.02e+00  -1.9 5.99e-02    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  3.1497586e+02 6.24e-04 1.13e+01  -1.9 1.06e-01    -  1.00e+00 3.72e-01f  1
  41  3.0843768e+02 1.67e-04 3.31e+00  -1.9 5.12e-02    -  9.99e-01 1.00e+00f  1
  42  3.2149231e+02 3.23e-04 7.11e+00  -1.7 1.29e-01    -  8.11e-01 4.40e-01f  1
  43  3.1775311e+02 2.37e-04 6.63e+00  -1.9 9.22e-02    -  1.00e+00 6.99e-01f  1
  44  3.1193026e+02 2.54e-04 1.19e+01  -1.9 1.08e-01    -  1.00e+00 6.78e-01f  1
  45  3.0661090e+02 2.68e-04 1.16e+01  -1.9 2.25e-01    -  1.00e+00 4.51e-01f  2
  46  2.9729844e+02 5.86e-04 8.40e+00  -2.1 4.57e-01    -  1.00e+00 2.79e-01f  2
  47  3.0775768e+02 2.05e-03 8.49e+00  -1.7 6.91e-01    -  6.07e-01 4.87e-01f  1
  48  3.0311911e+02 1.84e-03 1.12e+01  -1.9 1.65e+00    -  3.33e-01 1.08e-01f  2
  49  2.9724080e+02 1.16e-03 1.03e+01  -1.9 5.69e-01    -  2.57e-01 2.00e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.8967101e+02 8.24e-04 1.03e+01  -1.9 4.82e-01    -  4.18e-01 2.42e-01f  1
  51  3.3271381e+02 1.32e-03 9.24e+00  -1.5 3.78e-01    -  7.63e-01 4.99e-01f  1
  52  3.1773656e+02 7.99e-04 8.84e+00  -1.7 1.51e-01    -  1.00e+00 6.85e-01f  1
  53  3.0600693e+02 9.61e-04 3.76e+00  -1.7 1.64e-01    -  7.09e-01 9.29e-01f  1
  54  3.1633374e+02 1.79e-04 1.04e+01  -1.7 3.22e-01    -  9.02e-01 8.59e-01H  1
  55  2.8526394e+02 2.60e-03 1.10e+01  -1.9 1.88e-01    -  1.00e+00 9.63e-01f  1
  56  3.1940421e+02 2.63e-03 5.33e+00  -1.4 6.23e-01    -  3.99e-01 4.15e-01f  1
  57  3.2969668e+02 3.90e-03 1.20e+01  -1.7 6.03e-01    -  5.30e-01 3.89e-01h  1
  58  3.0885676e+02 1.97e-03 8.01e+00  -1.7 1.99e-01    -  7.90e-01 4.87e-01f  1
  59  3.0020670e+02 2.21e-03 5.83e+00  -1.7 4.66e-01    -  6.92e-01 4.75e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  3.0642141e+02 1.40e-03 1.15e+01  -1.7 3.44e-01    -  7.52e-01 7.43e-01H  1
  61  2.9796320e+02 3.15e-03 4.52e+00  -1.7 1.61e-01    -  8.50e-01 9.47e-01f  1
  62  2.9227294e+02 1.31e-03 4.11e+00  -1.7 1.12e-01    -  7.76e-01 5.46e-01f  1
  63  2.7268838e+02 6.79e-04 3.07e+00  -2.0 1.11e-01    -  9.96e-01 6.88e-01f  1
  64  2.8419050e+02 3.55e-04 5.32e+00  -1.7 9.64e-02    -  1.00e+00 4.81e-01f  2
  65  2.6622409e+02 2.45e-04 7.60e+00  -2.3 1.35e-01    -  1.00e+00 4.93e-01f  1
  66  2.5710973e+02 7.72e-04 5.80e+00  -2.2 3.19e-01    -  7.36e-01 3.70e-01f  1
  67  2.5011905e+02 5.01e-04 6.58e+00  -2.2 7.88e-02    -  1.00e+00 3.29e-01f  1
  68  2.4384443e+02 4.46e-04 4.30e+00  -2.1 1.24e-01    -  5.60e-01 3.85e-01f  1
  69  2.4185214e+02 3.79e-04 1.72e+01  -2.2 8.13e-02    -  8.23e-01 1.58e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  2.5025408e+02 2.34e-04 3.72e+00  -1.9 9.29e-02    -  7.28e-01 5.00e-01f  2
  71  2.3994456e+02 1.28e-04 3.53e+00  -2.1 7.29e-02    -  1.00e+00 8.83e-01f  1
  72  2.3449160e+02 1.81e-04 1.06e+01  -2.3 1.11e-01    -  9.99e-01 3.67e-01f  2
  73  2.2042068e+02 3.75e-04 1.10e+01  -2.6 1.73e-01    -  1.00e+00 6.41e-01f  1
