This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:     5480
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     1572
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1572

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7339903e+02 1.57e+01 2.93e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.5560826e+03 1.47e+01 4.25e+01  -0.0 6.37e+00    -  9.66e-03 6.31e-02f  1
   2  2.7152758e+03 1.35e+01 4.75e+01   0.2 5.63e+00    -  1.60e-01 8.05e-02f  1
   3  2.7171556e+03 1.22e+01 4.61e+01  -4.0 5.54e+00    -  1.08e-01 9.79e-02h  1
   4  7.8755026e+03 1.06e+01 7.45e+01   0.8 8.98e+00    -  2.58e-02 1.32e-01f  1
   5  1.5250971e+04 5.31e+00 1.12e+02   0.4 4.39e+00    -  3.17e-01 4.99e-01f  1
   6  2.0088113e+04 3.75e+00 1.23e+02   0.4 3.32e+00    -  4.76e-01 2.93e-01h  1
   7  1.3415964e+04 2.06e+00 6.20e+01  -0.2 2.22e+00    -  3.71e-01 4.51e-01f  1
   8  1.9276757e+04 2.23e+00 2.73e+02   0.3 2.96e+00    -  2.58e-01 4.41e-01h  1
   9  1.4110558e+04 1.60e+00 6.17e+02  -0.1 8.05e-01    -  9.94e-01 3.29e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.2986326e+04 1.27e+00 2.03e+03   0.4 1.12e+00    -  5.54e-01 2.69e-01f  1
  11  1.0499039e+04 8.59e-01 2.00e+03  -0.4 6.51e-01    -  9.99e-01 3.54e-01f  1
  12  8.7581771e+03 5.74e-01 3.08e+03  -0.2 1.25e+00    -  1.00e+00 3.46e-01f  1
  13  6.7101032e+03 4.17e-01 3.44e+03  -0.4 2.18e+00    -  1.00e+00 3.83e-01f  1
  14  6.5155673e+03 3.56e-01 5.42e+03  -0.4 2.74e+00    -  8.06e-01 1.71e-01h  2
  15  5.3235615e+03 2.00e-01 3.78e+03  -1.0 2.91e-01    -  1.00e+00 4.43e-01f  1
  16  5.0690262e+03 1.87e-01 6.09e+03  -0.9 7.51e-01    -  9.48e-01 7.42e-02f  1
  17  3.9331797e+03 1.42e-01 4.59e+03  -1.0 8.96e-01    -  1.00e+00 4.78e-01f  1
  18  4.0170574e+03 9.84e-02 5.64e+03  -0.4 9.17e-01    -  4.70e-01 3.40e-01f  1
  19  3.4022851e+03 5.57e-02 6.68e+03  -0.9 5.83e-01    -  1.00e+00 5.23e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.3461018e+03 8.24e-02 7.42e+03  -0.8 1.17e+00    -  5.45e-01 4.06e-01h  1
  21  2.9425188e+03 5.29e-02 1.12e+04  -1.3 4.53e-01    -  1.00e+00 4.06e-01f  1
  22  2.7148628e+03 3.24e-02 6.48e+03  -1.1 4.36e-01    -  3.99e-01 4.05e-01f  1
  23  2.5960126e+03 1.78e-02 1.02e+04  -1.1 4.53e-01    -  5.86e-01 4.56e-01f  1
  24  2.5311177e+03 1.40e-02 2.43e+04  -0.8 1.74e+00    -  3.45e-01 2.55e-01f  1
  25  2.5554010e+03 4.55e-02 2.81e+04  -0.5 8.32e+00    -  1.30e-01 1.17e-01f  1
  26  2.4653429e+03 4.70e-02 4.90e+04  -1.0 5.13e+00    -  2.08e-01 8.44e-02f  1
  27  2.3241255e+03 4.19e-02 2.21e+05  -0.9 2.25e+00    -  9.54e-01 2.23e-01f  1
  28  2.3148155e+03 6.18e-02 3.76e+05  -0.6 3.95e+00    -  4.75e-01 1.65e-01f  2
  29  1.9992758e+03 5.74e-02 2.42e+05  -4.0 2.50e+00    -  4.09e-01 3.53e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.8270287e+03 4.31e-02 2.13e+05  -2.1 2.77e+00    -  4.79e-01 1.23e-01f  1
  31  1.6843923e+03 1.16e-01 1.73e+05  -1.1 1.61e+00    -  4.99e-01 3.91e-01f  1
  32  1.5115382e+03 5.40e-02 2.59e+05  -1.1 9.23e-01    -  6.44e-01 3.93e-01f  1
  33  1.8428279e+03 9.58e-03 1.05e+06  -0.8 8.73e-01    -  4.10e-01 1.00e+00H  1
  34  1.3459742e+03 4.82e-02 4.70e+05  -1.1 4.42e-01    -  1.00e+00 8.93e-01f  1
  35  1.2649067e+03 2.27e-02 1.90e+05  -1.2 3.07e-01    -  1.00e+00 6.51e-01f  1
  36  1.1572724e+03 8.08e-03 1.52e+06  -1.6 2.29e-01    -  1.00e+00 6.29e-01f  1
  37  1.1610582e+03 2.68e-02 5.86e+05  -1.2 8.94e-01    -  9.19e-01 5.57e-01f  1
  38  1.0969711e+03 1.78e-02 2.73e+05  -1.3 8.26e-01    -  8.11e-01 3.16e-01f  1
  39  1.0115257e+03 4.16e-02 5.69e+05  -1.5 2.21e+00    -  6.39e-01 3.20e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  9.2810517e+02 3.42e-02 2.89e+05  -1.4 1.34e+00    -  6.97e-01 2.63e-01f  1
  41  8.2120929e+02 2.36e-02 4.19e+05  -1.5 4.38e-01    -  1.00e+00 5.97e-01f  1
  42  7.7640674e+02 1.30e-02 1.65e+05  -1.4 2.12e-01    -  7.83e-01 4.66e-01f  1
  43  7.2674117e+02 7.74e-03 1.12e+06  -1.7 2.56e-01    -  1.00e+00 4.25e-01f  1
  44  6.8361308e+02 5.96e-03 1.19e+06  -1.9 7.16e-01    -  8.64e-01 2.87e-01f  1
  45  6.6963589e+02 5.12e-03 5.04e+05  -1.7 4.40e-01    -  8.45e-01 1.56e-01f  1
  46  6.6464720e+02 9.28e-03 1.01e+06  -1.4 9.90e-01    -  9.12e-01 2.52e-01f  1
  47  6.2018546e+02 9.57e-03 4.98e+05  -2.2 1.12e+00    -  6.43e-01 2.38e-01f  1
  48  5.9825589e+02 1.02e-02 1.05e+06  -2.8 1.64e+00    -  5.51e-01 1.51e-01f  1
  49  5.5559327e+02 6.47e-03 4.97e+05  -2.2 5.36e-01    -  1.00e+00 6.22e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  5.5323376e+02 1.44e-02 2.89e+05  -1.8 6.30e-01    -  4.07e-01 3.97e-01f  1
  51  5.3224896e+02 1.07e-02 9.13e+04  -2.0 3.18e-01    -  7.94e-01 6.69e-01f  1
  52  5.0093313e+02 5.44e-03 1.41e+05  -2.6 1.29e-01    -  6.37e-01 5.14e-01f  1
  53  4.8552339e+02 1.64e-03 2.05e+04  -2.3 8.90e-02    -  7.93e-01 8.45e-01f  1
  54  4.7695554e+02 1.35e-03 3.22e+04  -2.4 1.71e-01    -  1.00e+00 6.50e-01f  1
  55  4.7114874e+02 9.63e-04 2.32e+04  -2.3 7.76e-01    -  4.16e-01 1.48e-01f  1
  56  4.6802045e+02 7.10e-03 2.78e+05  -2.0 2.11e+00    -  7.05e-01 2.18e-01f  1
  57  4.7246693e+02 8.31e-03 8.21e+05  -1.4 6.15e+00    -  2.60e-01 5.61e-02f  1
  58  4.6814987e+02 9.86e-03 4.43e+05  -2.1 1.60e+00    -  5.00e-01 1.63e-01f  2
  59  4.5732390e+02 1.13e-02 2.56e+05  -2.1 1.02e+00    -  4.42e-01 3.33e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  4.5346644e+02 8.96e-03 3.50e+05  -1.8 3.47e+00    -  2.64e-01 7.43e-02f  2
  61  5.8999079e+02 1.27e-02 6.49e+05  -1.5 2.76e-01    -  5.69e-01 9.16e-01f  1
  62  5.0604727e+02 8.89e-03 1.58e+05  -1.6 3.78e-01    -  9.51e-01 7.79e-01f  1
  63  4.9661564e+02 3.50e-03 4.91e+04  -1.6 2.30e-01    -  8.93e-01 6.94e-01f  1
  64  4.9453688e+02 5.54e-03 1.31e+04  -1.6 3.05e-01    -  9.61e-01 7.35e-01f  1
  65  4.9463559e+02 1.37e-02 9.68e+03  -1.6 1.11e+00    -  1.00e+00 2.61e-01f  2
  66  5.8439108e+02 4.86e-03 2.45e+03  -1.6 4.83e-01    -  7.94e-01 7.47e-01H  1
  67  4.8664381e+02 2.25e-02 8.29e+00  -1.6 2.53e-01    -  1.00e+00 1.00e+00f  1
  68  4.8770569e+02 2.29e-02 8.37e+00  -1.6 1.90e-01    -  6.62e-01 1.00e+00h  1
  69  4.7259862e+02 6.66e-03 4.57e+00  -1.6 2.32e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  4.4345234e+02 7.74e-03 7.26e+05  -2.5 5.08e-01    -  6.87e-01 3.07e-01f  1
  71  3.9407900e+02 3.32e-03 4.62e+05  -2.7 3.39e-01    -  1.00e+00 6.80e-01f  1
