This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    46101
Number of nonzeros in inequality constraint Jacobian.:    22776
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    15824
                     variables with only lower bounds:     3649
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    12549
Total number of inequality constraints...............:     4292
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     4292

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  5.7272184e+02 3.03e+00 9.90e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.1514520e+03 2.56e+00 8.82e+01  -0.4 1.92e+01    -  4.96e-02 1.09e-01f  1
   2  1.0971104e+03 2.35e+00 1.31e+02  -0.9 2.11e+00    -  9.44e-01 7.19e-02f  1
   3  1.0112060e+03 1.90e+00 1.56e+02  -1.1 2.34e+00    -  6.09e-01 1.76e-01f  1
   4  9.0951695e+02 1.29e+00 1.71e+02  -1.2 1.19e+00    -  8.40e-01 3.06e-01f  1
   5  7.4896174e+02 7.49e-01 5.56e+01  -1.9 1.71e+00    -  1.00e+00 4.13e-01f  1
   6  6.6137981e+02 4.21e-01 4.62e+01  -1.7 1.01e+00    -  6.95e-01 4.27e-01f  1
   7  6.2925082e+02 2.52e-01 3.38e+01  -1.6 1.79e-01    -  9.99e-01 3.87e-01f  1
   8  5.6983625e+02 9.11e-02 2.12e+01  -1.9 3.29e-01    -  1.00e+00 6.30e-01f  1
   9  5.3284076e+02 2.63e-02 1.38e+01  -2.0 4.73e-01    -  1.00e+00 6.98e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  5.2579744e+02 6.41e-03 1.03e+01  -2.0 2.62e-01    -  8.19e-01 7.41e-01h  1
  11  5.2469060e+02 1.09e-03 3.63e+01  -2.0 9.30e-02    -  6.33e-01 7.41e-01f  1
  12  5.1250337e+02 6.05e-04 1.92e+02  -2.6 2.30e-01    -  1.00e+00 3.76e-01f  1
  13  5.0210617e+02 3.02e-04 3.94e+02  -2.7 6.25e-01    -  1.00e+00 3.97e-01f  1
