This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    30501
Number of nonzeros in inequality constraint Jacobian.:     6600
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    10484
                     variables with only lower bounds:     2419
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     8319
Total number of inequality constraints...............:     1892
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1892

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  2.5137583e+02 3.48e-02 5.99e+04  -2.3 6.17e+00    -  4.13e-01 3.97e-02f  1
  48  2.4969741e+02 2.94e-02 4.66e+04  -2.4 8.15e+00    -  2.94e-01 7.31e-02f  3
  49  2.5554599e+02 8.96e-02 1.38e+05  -2.0 9.18e+00    -  2.57e-01 1.24e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.5364482e+02 8.36e-02 1.41e+05  -2.4 4.90e+00    -  5.84e-03 8.21e-02f  3
  51  2.7148145e+02 3.46e-02 6.52e+04  -2.4 1.53e+00    -  6.02e-01 8.23e-01H  1
  52  2.5913058e+02 3.17e-02 3.03e+04  -2.4 4.95e-01    -  5.06e-01 2.49e-01f  1
  53  2.4336073e+02 5.27e-02 3.47e+04  -2.4 1.30e+00    -  9.69e-03 8.34e-01f  1
  54  2.7681301e+02 8.33e-02 5.57e+04  -1.9 1.21e+00    -  4.46e-01 4.04e-01f  1
  55  2.5361916e+02 3.10e-02 1.05e+00  -2.2 3.84e-01    -  1.00e+00 1.00e+00f  1
  56  2.6444447e+02 6.30e-03 2.61e+00  -2.2 2.49e-01    -  6.40e-01 1.00e+00H  1
  57  2.4137384e+02 4.88e-02 7.20e+01  -2.4 1.47e-01    -  1.00e+00 1.00e+00f  1
  58  2.3622221e+02 3.09e-02 1.85e+05  -3.0 4.01e-02    -  1.00e+00 3.65e-01f  1
  59  2.3075456e+02 1.97e-02 1.73e+05  -3.6 1.34e-01    -  1.00e+00 3.59e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.2551917e+02 5.71e-03 3.98e+04  -3.2 1.23e-01    -  1.00e+00 7.10e-01f  1
  61  2.2975916e+02 1.65e-02 5.94e+04  -2.5 1.94e+00    -  2.33e-01 3.55e-01f  1
  62  2.2790662e+02 1.37e-02 4.81e+04  -2.9 1.42e+00    -  2.80e-01 1.80e-01f  1
  63  2.2544172e+02 9.38e-03 3.51e+04  -2.9 1.45e+00    -  7.98e-01 2.24e-01f  2
  64  2.2135341e+02 5.73e-03 3.01e+04  -3.9 3.67e-01    -  4.14e-01 3.51e-01f  1
  65  2.1872148e+02 2.55e-03 2.00e+04  -3.3 2.09e-01    -  1.00e+00 6.53e-01f  1
  66  2.1719809e+02 4.47e-03 2.61e+04  -3.8 4.93e-01    -  1.00e+00 5.50e-01f  1
  67  2.1597320e+02 2.96e-03 1.10e+04  -3.8 2.09e-01    -  1.00e+00 5.56e-01f  1
  68  2.1533171e+02 1.82e-03 8.35e+03  -3.9 5.73e-01    -  1.00e+00 3.81e-01f  1
  69  2.1527761e+02 1.73e-03 3.37e+03  -3.7 2.93e-01    -  9.28e-01 7.00e-02f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  2.1463861e+02 1.52e-04 2.23e-01  -4.0 3.45e-02    -  1.00e+00 1.00e+00h  1
  71  2.1664892e+02 4.45e-04 1.36e+04  -3.3 9.08e-02    -  6.79e-01 1.00e+00f  1
  72  2.1639543e+02 4.57e-04 1.21e+04  -3.4 6.70e-01    -  1.34e-01 1.14e-01f  1
  73  2.1579344e+02 4.17e-04 7.27e+03  -3.4 2.66e-01    -  1.00e+00 4.10e-01f  1
  74  2.1563287e+02 1.10e-03 5.40e+03  -3.4 4.76e-01    -  5.75e-01 2.57e-01f  2
  75  2.1498287e+02 1.12e-03 1.83e+03  -3.4 1.57e-01    -  6.20e-01 6.62e-01f  1
  76  2.1484257e+02 7.65e-04 1.26e+03  -3.4 1.70e-01    -  1.00e+00 3.12e-01f  2
  77  2.1464805e+02 3.28e-04 2.55e-01  -3.4 2.98e-02    -  1.00e+00 1.00e+00h  1
  78  2.1459015e+02 2.66e-04 1.64e-01  -3.4 2.56e-02    -  1.00e+00 1.00e+00h  1
  79  2.1412819e+02 5.78e-04 5.66e-01  -3.5 1.03e-01    -  1.00e+00 1.00e+00f  1
