This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    20101
Number of nonzeros in inequality constraint Jacobian.:     4360
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6924
                     variables with only lower bounds:     1599
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5499
Total number of inequality constraints...............:     1252
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1252

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  1.6340748e+02 4.26e-03 8.55e-01  -2.3 9.83e-02    -  1.00e+00 1.00e+00f  1
  48  1.4828572e+02 2.62e-03 2.96e+03  -2.7 1.72e-01    -  9.91e-01 1.00e+00f  1
  49  1.6232936e+02 8.61e-03 1.00e+00  -2.3 1.22e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.5722830e+02 7.21e-03 7.58e-01  -2.4 5.88e-02    -  1.00e+00 1.00e+00f  1
  51  1.5630842e+02 2.12e-03 2.97e-01  -2.4 6.66e-02    -  9.36e-01 1.00e+00f  1
  52  1.4224966e+02 3.50e-04 2.13e+04  -3.2 4.25e-02    -  9.99e-01 9.33e-01f  1
  53  1.3823670e+02 1.68e-04 3.51e+02  -3.9 5.09e-02    -  1.00e+00 9.96e-01f  1
  54  1.3813923e+02 1.82e-04 6.93e+02  -3.9 1.75e-01    -  9.87e-01 2.56e-01f  2
  55  1.3798128e+02 7.70e-04 6.25e-01  -4.0 1.11e-01    -  1.00e+00 1.00e+00f  1
  56  1.3903338e+02 2.92e-03 1.85e+04  -3.2 6.20e-01    -  7.46e-01 3.65e-01f  1
  57  1.3868370e+02 3.35e-03 1.45e+04  -3.6 7.25e-01    -  2.14e-01 1.77e-01f  1
  58  1.3913405e+02 2.32e-03 1.05e+04  -3.6 2.61e-01    -  2.87e-01 5.69e-01H  1
  59  1.3894354e+02 2.37e-03 8.29e+03  -3.6 2.16e-01    -  2.10e-01 1.71e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.3828017e+02 1.60e-03 1.09e+02  -3.6 8.96e-02    -  1.00e+00 5.44e-01f  1
  61  1.3823906e+02 1.53e-03 6.38e+01  -3.6 1.21e-01    -  3.29e-01 4.12e-01f  1
  62  1.3820786e+02 1.41e-03 5.83e+01  -3.6 6.17e-02    -  5.47e-02 8.64e-02f  1
