This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:     5480
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     1572
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1572

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7299002e+02 1.32e+01 2.93e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.6729196e+03 1.22e+01 3.81e+01  -0.1 8.07e+00    -  8.78e-03 7.29e-02f  1
   2  3.1331939e+03 1.12e+01 3.92e+01   0.2 5.61e+00    -  1.86e-01 8.83e-02f  1
   3  1.8048603e+04 1.07e+01 1.22e+02   1.6 3.89e+01    -  8.14e-03 3.62e-02f  1
   4  1.2317129e+04 7.48e+00 1.19e+02   0.1 5.14e+00    -  7.24e-02 3.04e-01f  1
   5  9.3800522e+03 6.68e+00 1.14e+02   0.1 5.38e+00    -  7.29e-02 1.08e-01f  1
   6  8.5657799e+03 5.94e+00 7.57e+01  -0.2 3.44e+00    -  3.10e-01 1.10e-01f  1
   7  3.1871069e+04 5.56e+00 4.97e+02   1.7 4.84e+01    -  2.23e-02 6.41e-02f  1
   8  2.8241920e+04 3.10e+00 2.92e+02   0.4 3.87e+00    -  4.19e-01 4.43e-01f  1
   9  1.5344825e+04 2.02e+00 1.91e+02  -4.0 3.52e+00    -  2.91e-01 3.47e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.3759803e+04 1.42e+00 2.46e+02  -0.1 5.95e+00    -  9.89e-02 2.97e-01f  1
  11  1.0513793e+04 1.03e+00 7.45e+01  -0.1 1.39e+00    -  6.03e-01 2.76e-01f  1
