This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:     5480
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     1572
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1572

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7338363e+02 1.49e+01 2.93e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.1713895e+03 1.40e+01 3.48e+01  -0.0 6.30e+00    -  9.39e-03 6.43e-02f  1
   2  7.9381552e+03 1.32e+01 6.79e+01   1.0 3.38e+01    -  9.37e-03 5.25e-02f  1
   3  5.9859722e+03 1.17e+01 6.55e+01  -0.4 5.29e+00    -  7.37e-02 1.20e-01f  1
   4  5.5485422e+03 1.10e+01 4.73e+01   0.0 5.42e+00    -  2.48e-01 5.32e-02f  1
   5  6.0396917e+03 8.09e+00 3.59e+01   0.2 4.24e+00    -  3.22e-01 2.67e-01f  1
   6  5.4465319e+03 5.50e+00 3.31e+01  -0.2 3.74e+00    -  4.77e-01 3.20e-01f  1
   7  4.8639458e+03 2.78e+00 5.81e+01  -0.4 2.50e+00    -  9.33e-01 4.96e-01h  1
   8  4.1901510e+03 6.08e-01 4.76e+01  -0.3 2.99e+00    -  7.43e-01 7.81e-01f  1
   9  3.7388455e+03 5.28e-01 2.12e+02  -0.4 4.81e+00    -  3.51e-01 1.32e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.2530885e+03 2.76e-01 2.88e+02  -0.3 8.99e-01    -  6.35e-01 5.00e-01f  1
  11  2.3907091e+03 1.63e-01 4.81e+02  -1.0 8.86e-01    -  1.00e+00 4.32e-01f  1
  12  1.8762729e+03 1.14e-01 1.16e+03  -0.8 1.61e+00    -  1.00e+00 4.51e-01f  1
  13  1.2792315e+03 2.18e-01 9.99e+02  -1.2 1.22e+00    -  1.00e+00 5.82e-01f  1
  14  9.0089035e+02 1.62e-01 2.21e+02  -1.3 6.66e-01    -  1.00e+00 9.32e-01f  1
  15  7.7693682e+02 1.03e-01 4.80e+03  -1.6 4.32e-01    -  8.39e-01 5.17e-01f  1
  16  7.0150913e+02 4.43e-02 8.16e+03  -1.9 2.28e-01    -  1.00e+00 5.81e-01f  1
  17  6.5724662e+02 2.64e-02 1.19e+04  -2.3 4.22e-01    -  1.00e+00 4.60e-01f  1
  18  6.3170103e+02 1.94e-02 1.11e+04  -2.6 1.57e+00    -  4.87e-01 2.75e-01f  1
  19  6.4707648e+02 3.31e-02 3.82e+04  -1.4 2.93e+00    -  3.04e-01 1.97e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  6.6236615e+02 2.98e-02 2.19e+05  -1.3 2.50e+00    -  4.93e-01 1.19e-01f  1
  21  6.6301954e+02 3.79e-02 2.82e+05  -1.2 1.08e+01    -  2.19e-01 7.79e-02f  1
  22  6.4937408e+02 4.93e-02 2.73e+05  -1.6 1.89e+01    -  6.50e-02 4.62e-02f  1
  23  6.2926360e+02 4.52e-02 2.60e+05  -1.6 2.58e+00    -  4.62e-01 2.27e-01f  1
  24  6.5271888e+02 4.28e-02 4.11e+05  -1.0 1.01e+01    -  2.19e-01 9.39e-02f  1
  25  6.3888646e+02 4.48e-02 3.51e+05  -1.5 4.85e+00    -  1.68e-01 1.55e-01f  1
  26  6.0460845e+02 3.79e-02 2.04e+05  -1.5 1.61e+00    -  6.02e-01 5.10e-01f  1
  27  5.7850362e+02 2.24e-02 2.84e+05  -1.5 1.17e+00    -  5.14e-01 2.83e-01f  1
  28  6.3166945e+02 1.63e-01 4.60e+05  -1.3 1.27e+00    -  9.18e-01 6.85e-01f  1
  29  5.5613279e+02 1.64e-01 1.32e+05  -1.4 1.14e+00    -  8.51e-01 7.97e-01f  1
