This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    26341
Number of nonzeros in inequality constraint Jacobian.:     5704
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     9060
                     variables with only lower bounds:     2091
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     7191
Total number of inequality constraints...............:     1636
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1636

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  7.4217159e+02 1.32e+01 2.39e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.5953574e+03 1.22e+01 8.44e+00  -0.0 6.31e+00    -  9.81e-03 7.68e-02f  1
   2  5.2703498e+03 1.19e+01 2.50e+01   1.0 8.07e+01    -  8.54e-03 2.42e-02f  1
   3  5.1030112e+03 1.07e+01 2.74e+01  -0.6 4.76e+00    -  5.01e-02 1.02e-01f  1
   4  8.0210355e+03 8.32e+00 3.08e+01   0.1 5.86e+00    -  3.22e-01 2.21e-01f  1
   5  6.7933885e+03 6.19e+00 5.39e+01  -4.0 5.22e+00    -  2.08e-01 2.56e-01f  1
   6  7.8731272e+03 3.16e+00 5.57e+01  -0.4 3.94e+00    -  9.85e-02 4.89e-01f  1
   7  6.5499873e+03 2.01e+00 5.20e+01  -1.2 1.54e+00    -  6.42e-01 3.63e-01f  1
   8  6.4826452e+03 1.93e+00 4.75e+01  -0.6 4.67e+00    -  3.36e-01 2.29e-01H  1
   9  5.7775503e+04 8.65e+00 1.35e+03   0.7 3.42e+01    -  4.80e-02 3.67e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.1273295e+04 6.31e+00 1.26e+03   0.1 1.49e+01    -  9.84e-02 3.08e-01f  1
  11  3.2728220e+04 5.24e+00 9.83e+02   0.1 1.11e+01    -  2.03e-01 1.79e-01f  1
