This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:     5480
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     1572
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1572

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7339986e+02 1.49e+01 2.93e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.1688971e+03 1.40e+01 3.48e+01  -0.0 6.30e+00    -  9.39e-03 6.43e-02f  1
   2  7.5806356e+03 1.33e+01 6.58e+01   1.0 3.42e+01    -  9.43e-03 5.18e-02f  1
   3  5.6679080e+03 1.16e+01 6.21e+01  -0.4 5.23e+00    -  7.72e-02 1.21e-01f  1
   4  5.5498041e+03 1.03e+01 5.02e+01   0.2 5.09e+00    -  2.76e-01 1.17e-01f  1
   5  1.7432850e+04 9.91e+00 1.99e+02   1.7 9.26e+01    -  8.93e-03 3.63e-02f  1
   6  1.3642629e+04 7.86e+00 1.21e+02   0.2 6.39e+00    -  3.71e-01 2.07e-01f  1
   7  9.1818559e+03 4.80e+00 7.29e+01  -0.2 4.47e+00    -  3.96e-01 3.89e-01f  1
   8  8.1703305e+03 2.41e+00 4.06e+01  -0.0 2.44e+00    -  6.26e-01 4.98e-01h  1
   9  5.1897086e+03 1.49e+00 6.10e+01  -0.4 1.36e+00    -  9.75e-01 7.12e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.1483389e+03 1.24e+00 4.89e+01  -4.0 3.76e+00    -  2.68e-01 1.98e-01f  1
  11  4.8176468e+03 8.43e-01 1.05e+03   0.1 1.50e+00    -  6.56e-01 3.28e-01f  1
  12  3.6871215e+03 6.11e-01 7.57e+02  -4.0 1.54e+00    -  5.65e-01 2.76e-01f  1
  13  2.6193295e+03 5.52e-01 5.02e+02  -1.5 2.85e+00    -  1.43e-01 3.02e-01f  1
  14  2.2782819e+03 4.50e-01 4.35e+02  -1.1 9.00e-01    -  2.43e-01 1.94e-01f  1
  15  1.7578779e+03 2.92e-01 4.08e+02  -1.0 8.46e-01    -  5.78e-01 4.29e-01f  1
  16  1.4804991e+03 2.03e-01 6.21e+02  -1.0 1.75e+00    -  6.13e-01 3.91e-01f  1
  17  1.1168944e+03 1.40e-01 7.26e+02  -1.2 8.93e-01    -  1.00e+00 6.89e-01f  1
  18  8.7533309e+02 1.07e-01 1.37e+02  -1.3 3.72e-01    -  1.00e+00 9.74e-01f  1
  19  7.6409224e+02 4.68e-02 6.31e+03  -1.6 2.19e-01    -  1.00e+00 9.33e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  7.3839822e+02 7.93e-03 5.13e+00  -1.6 2.08e-01    -  1.00e+00 1.00e+00f  1
  21  7.0306488e+02 8.64e-03 2.03e+05  -1.8 4.10e-01    -  9.78e-01 5.77e-01f  1
  22  6.4812792e+02 5.51e-03 2.70e+05  -2.4 1.83e-01    -  1.00e+00 6.97e-01f  1
  23  6.3367147e+02 1.20e-02 3.62e+03  -2.2 2.48e-01    -  9.89e-01 1.00e+00f  1
  24  6.7828440e+02 1.62e-02 2.47e+05  -1.7 6.29e-01    -  9.20e-01 7.50e-01f  1
  25  6.6764226e+02 2.06e-02 1.95e+05  -1.8 6.18e+00    -  1.68e-01 1.34e-01f  1
  26  6.6038283e+02 1.94e-02 1.09e+05  -1.8 6.13e+00    -  2.29e-01 7.59e-02f  1
  27  6.5143711e+02 2.53e-02 9.67e+04  -1.8 2.36e+01    -  6.91e-02 4.83e-02f  1
  28  6.4687345e+02 2.46e-02 6.64e+04  -1.8 9.92e+00    -  1.14e-01 3.25e-02f  1
  29  6.3647035e+02 3.93e-02 5.14e+03  -1.8 5.98e+00    -  4.94e-01 3.26e-01f  1
