This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    19061
Number of nonzeros in inequality constraint Jacobian.:     5912
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6568
                     variables with only lower bounds:     1517
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5217
Total number of inequality constraints...............:     1796
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1796

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.5910009e+02 6.84e+00 2.95e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  7.9328203e+02 6.06e+00 2.01e+01  -0.6 4.35e+00    -  2.08e-02 1.14e-01f  1
   2  1.9399126e+03 5.64e+00 7.62e+01   0.1 4.96e+00    -  5.73e-01 6.94e-02f  1
   3  4.0336519e+03 4.14e+00 4.22e+01   0.4 3.40e+00    -  2.21e-01 2.66e-01f  1
   4  4.0850088e+03 1.06e+00 6.29e+01   0.1 1.80e+00    -  3.49e-01 7.45e-01f  1
   5  3.0345411e+03 7.35e-01 3.21e+01  -0.5 3.26e+00    -  3.60e-01 3.04e-01f  1
   6  2.8177099e+03 3.77e-01 9.27e+01  -0.2 7.43e-01    -  6.76e-01 4.87e-01f  1
   7  2.6962936e+03 4.57e-02 7.13e+01  -0.2 6.36e-01    -  8.00e-01 8.79e-01f  1
   8  2.1192500e+03 2.34e-02 2.36e+02  -0.7 8.33e-01    -  5.77e-01 4.88e-01f  1
   9  2.0581266e+03 1.04e-02 8.26e+02  -0.4 4.32e-01    -  9.13e-01 9.90e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.7968885e+03 9.29e-03 5.46e+02  -0.5 2.29e-01    -  9.99e-01 1.00e+00f  1
  11  1.4920826e+03 1.68e-03 7.28e+00  -0.7 1.49e-01    -  1.00e+00 1.00e+00f  1
  12  1.2140038e+03 2.92e-03 2.53e+06  -0.9 3.69e-01    -  9.93e-01 6.38e-01f  1
  13  1.5654753e+03 8.74e-04 2.74e+01  -0.6 5.65e-01    -  1.00e+00 1.00e+00H  1
  14  1.3611117e+03 7.75e-03 6.02e+04  -0.6 3.25e-01    -  9.95e-01 9.30e-01f  1
  15  1.2890119e+03 1.95e-03 3.04e+03  -0.6 1.65e-01    -  9.87e-01 1.00e+00f  1
  16  9.9730665e+02 1.53e-03 1.92e+06  -0.9 1.68e-01    -  1.00e+00 8.26e-01f  1
  17  8.8749559e+02 2.76e-03 3.85e+05  -0.9 5.46e-01    -  9.71e-01 7.82e-01H  1
  18  7.8820125e+02 1.90e-03 4.21e+04  -1.0 5.62e-01    -  1.00e+00 9.88e-01H  1
  19  6.4872017e+02 2.86e-03 4.45e+05  -1.3 4.44e-01    -  4.56e-01 3.70e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  5.9494671e+02 4.35e-03 8.42e+04  -1.2 2.26e-01    -  4.21e-01 1.00e+00f  1
  21  5.0243185e+02 1.73e-03 1.59e+05  -1.4 1.79e-01    -  1.00e+00 9.40e-01f  1
  22  5.0916873e+02 1.24e-03 2.35e+04  -1.4 3.26e-01    -  8.72e-01 8.10e-01H  1
  23  4.3883186e+02 1.21e-03 8.16e+05  -1.6 1.20e-01    -  1.00e+00 6.03e-01f  1
  24  4.7835702e+02 2.99e-03 4.20e+05  -1.3 1.27e-01    -  7.30e-01 8.55e-01f  1
  25  4.3162766e+02 9.33e-04 3.11e+00  -1.5 1.02e-01    -  1.00e+00 1.00e+00f  1
  26  4.2838053e+02 2.74e-05 1.60e+03  -1.5 1.79e-01    -  8.75e-01 1.00e+00H  1
  27  3.7038752e+02 1.35e-03 6.27e+05  -1.9 2.73e-01    -  1.00e+00 7.01e-01f  1
  28  3.9844850e+02 1.62e-03 3.97e+05  -1.4 3.47e-01    -  5.26e-01 5.83e-01f  1
  29  3.7438586e+02 1.09e-03 1.14e+06  -1.9 1.14e-01    -  1.00e+00 3.49e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  3.8758018e+02 1.47e-03 4.36e+05  -1.5 1.65e-01    -  6.85e-01 8.41e-01f  1
  31  3.6125560e+02 4.38e-04 3.87e+05  -1.7 9.40e-02    -  1.00e+00 6.01e-01f  1
  32  3.4254033e+02 4.27e-04 7.29e+05  -2.0 1.68e-01    -  1.00e+00 3.95e-01f  1
  33  3.3663893e+02 3.59e-04 3.94e+05  -1.9 4.01e-01    -  9.56e-01 1.19e-01f  1
  34  3.3205615e+02 3.96e-04 1.58e+05  -1.8 2.68e-01    -  8.21e-01 2.91e-01f  1
  35  3.1548046e+02 1.15e-03 1.93e+05  -2.0 2.32e-01    -  1.00e+00 6.38e-01f  1
  36  3.0768772e+02 9.69e-04 2.03e+05  -2.0 3.71e-01    -  5.34e-01 2.16e-01f  1
  37  3.0061764e+02 1.09e-03 2.83e+05  -2.3 4.05e-01    -  5.39e-01 2.57e-01f  1
  38  2.8709095e+02 5.65e-04 2.03e+05  -2.2 1.99e-01    -  1.00e+00 4.79e-01f  1
  39  2.8165270e+02 7.56e-04 1.06e+05  -2.2 2.98e-01    -  5.80e-01 3.93e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  2.7754961e+02 5.34e-04 5.12e+04  -2.2 1.59e-01    -  7.06e-01 5.89e-01f  1
  41  2.7431765e+02 3.15e-04 3.42e+04  -2.2 2.36e-01    -  8.22e-01 2.72e-01f  1
  42  2.6555052e+02 4.11e-04 6.93e+04  -4.0 7.25e-01    -  2.68e-01 2.00e-01f  1
