This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:     5480
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     1572
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1572

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7338185e+02 1.49e+01 2.93e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.2548683e+03 1.40e+01 1.75e+01  -0.0 6.30e+00    -  9.39e-03 6.43e-02f  1
   2  3.7206417e+03 1.20e+01 2.17e+01   0.2 5.60e+00    -  2.09e-01 1.43e-01f  1
   3  6.1004103e+03 8.35e+00 3.39e+01   0.2 4.51e+00    -  3.21e-01 3.03e-01f  1
   4  4.9489713e+04 7.67e+00 5.32e+02   1.7 5.76e+01    -  1.68e-02 8.09e-02f  1
   5  2.3107228e+04 3.45e+00 1.07e+02   0.4 3.27e+00    -  7.94e-01 6.23e-01f  1
   6  1.9749680e+04 5.61e+00 2.14e+02   0.4 3.54e+00    -  6.36e-01 4.48e-01f  1
   7  1.5685966e+04 3.35e+00 1.47e+02  -1.1 1.70e+00    -  5.69e-01 3.81e-01f  1
   8  1.6774793e+04 2.71e+00 8.76e+02   0.7 7.89e+00    -  2.73e-01 1.73e-01f  1
   9  1.2062835e+04 1.31e+00 1.11e+03  -0.0 1.67e+00    -  9.82e-01 5.49e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.4316088e+04 1.10e+00 3.71e+03   0.2 2.32e+00    -  9.65e-01 4.95e-01H  1
  11  1.0182276e+04 9.30e-01 1.27e+03   0.2 8.69e-01    -  1.00e+00 9.21e-01f  1
  12  8.2760621e+03 3.63e-01 1.75e+04  -0.0 6.99e-01    -  7.78e-01 5.98e-01f  1
  13  5.6874471e+03 3.33e-01 4.02e+04  -0.3 5.65e-01    -  1.00e+00 7.45e-01f  1
  14  4.6158824e+03 2.80e-01 2.73e+05  -0.2 1.71e+00    -  9.00e-01 4.56e-01f  1
  15  3.6740308e+03 2.16e-01 2.05e+05  -4.0 1.28e+00    -  6.29e-01 2.32e-01f  1
  16  2.8029989e+03 1.36e-01 4.03e+05  -0.6 1.22e+00    -  9.85e-01 4.48e-01f  1
  17  2.2144488e+03 8.54e-02 3.77e+05  -0.9 8.03e-01    -  7.61e-01 4.21e-01f  1
  18  1.9306546e+03 5.05e-02 2.91e+05  -0.7 6.03e-01    -  9.89e-01 8.28e-01f  1
  19  1.6246328e+03 5.06e-02 4.15e+05  -0.7 4.15e-01    -  1.00e+00 9.13e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.4683879e+03 7.78e-02 1.42e+06  -0.9 3.55e-01    -  1.00e+00 7.13e-01f  1
  21  1.2129044e+03 4.82e-02 4.22e+06  -1.5 2.13e-01    -  1.00e+00 3.97e-01f  1
  22  1.2375280e+03 1.69e-02 1.19e+06  -0.9 1.95e-01    -  8.19e-01 9.14e-01f  1
  23  1.0866894e+03 9.05e-03 5.03e+00  -1.0 1.97e-01    -  1.00e+00 1.00e+00f  1
  24  9.4774767e+02 6.18e-03 2.84e+06  -1.5 3.27e-01    -  9.96e-01 4.91e-01f  1
  25  8.6090559e+02 1.19e-02 1.10e+06  -1.4 7.25e-01    -  7.36e-01 5.42e-01f  1
  26  7.9057345e+02 1.39e-02 5.14e+05  -1.5 4.05e-01    -  7.82e-01 6.68e-01f  1
  27  8.7265297e+02 2.64e-02 1.50e+05  -1.2 3.83e-01    -  7.51e-01 6.39e-01f  1
  28  8.2259709e+02 8.10e-03 8.85e+04  -1.4 1.27e-01    -  9.18e-01 8.21e-01f  1
  29  7.5757191e+02 4.50e-03 1.80e+06  -1.9 1.32e-01    -  1.00e+00 4.18e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  7.1437775e+02 2.98e-03 1.97e+06  -2.5 1.40e-01    -  1.00e+00 2.98e-01f  1
  31  6.7045018e+02 2.37e-03 1.47e+06  -3.1 3.79e-01    -  9.49e-01 3.27e-01f  1
  32  6.5045688e+02 2.52e-03 9.15e+05  -2.5 5.28e-01    -  7.77e-01 3.09e-01f  1
  33  6.5329220e+02 4.25e-03 4.44e+05  -1.7 9.48e-01    -  4.34e-01 3.29e-01f  1
  34  6.4712271e+02 5.10e-03 4.24e+05  -2.0 5.04e+00    -  1.62e-01 3.81e-02f  1
  35  6.6411974e+02 1.72e-02 1.94e+05  -0.8 1.70e+01    -  7.74e-02 3.82e-02f  1
  36  6.5567818e+02 2.15e-02 1.36e+05  -1.8 1.08e+01    -  1.33e-01 4.32e-02f  1
  37  6.5366021e+02 4.55e-02 1.20e+05  -1.8 1.54e+01    -  8.31e-02 6.86e-02f  1
  38  6.5035909e+02 4.37e-02 2.05e+04  -1.8 2.71e+00    -  2.88e-01 8.22e-02f  1
  39  6.2685282e+02 7.66e-03 1.24e+05  -1.8 7.33e-02    -  6.00e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  6.0480940e+02 5.41e-03 7.03e+05  -2.3 6.87e-02    -  1.00e+00 3.65e-01f  1
  41  5.7347394e+02 2.32e-03 1.02e+05  -2.3 6.37e-02    -  1.00e+00 8.50e-01f  1
  42  5.5904374e+02 8.84e-04 6.77e+04  -2.6 7.19e-02    -  1.00e+00 8.15e-01f  1
  43  5.5401165e+02 5.91e-04 1.42e+05  -3.0 1.61e-01    -  1.00e+00 3.37e-01f  1
  44  5.5125614e+02 5.59e-04 5.78e+04  -2.4 1.02e+00    -  4.07e-01 1.64e-01f  1
  45  5.4671283e+02 2.38e-03 5.86e+04  -2.8 5.46e+00    -  1.11e-01 5.23e-02f  1
  46  5.4647792e+02 3.91e-03 2.59e+05  -1.9 6.35e+00    -  3.15e-01 4.73e-02f  1
  47  5.4009133e+02 5.34e-03 1.31e+05  -3.4 1.73e+00    -  3.37e-01 1.90e-01f  1
  48  5.3859543e+02 6.93e-03 2.02e+05  -2.3 4.56e+00    -  5.56e-01 6.57e-02f  1
  49  5.4041345e+02 1.36e-02 1.62e+05  -2.1 2.94e+00    -  2.18e-01 2.10e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  5.3790708e+02 1.62e-02 1.26e+05  -2.4 6.89e+00    -  1.95e-01 5.60e-02f  3
  51  5.3640398e+02 4.89e-02 1.35e+05  -4.0 5.71e+00    -  1.85e-01 2.68e-01f  1
  52  5.3363805e+02 4.63e-02 1.36e+05  -2.1 6.21e+00    -  8.43e-02 5.91e-02f  1
  53  5.8499397e+02 2.40e-02 3.65e+04  -1.9 1.29e+00    -  4.56e-01 4.93e-01f  1
  54  5.4165746e+02 1.84e-02 3.98e+04  -2.2 1.09e+00    -  7.23e-01 9.20e-01f  1
  55  5.7542497e+02 3.05e-03 2.33e+04  -2.2 8.59e-01    -  5.23e-01 8.80e-01H  1
  56  5.3973999e+02 2.06e-02 2.23e+00  -2.2 7.24e-01    -  1.00e+00 1.00e+00f  1
  57  5.6183858e+02 6.67e-03 4.85e+00  -2.2 1.61e-01    -  7.43e-01 1.00e+00h  1
  58  5.3871598e+02 4.54e-03 5.44e-01  -2.2 1.25e-01    -  1.00e+00 1.00e+00f  1
  59  5.2999710e+02 3.04e-03 4.08e+05  -3.3 3.84e-02    -  1.00e+00 3.33e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  5.1554489e+02 3.18e-04 2.67e+04  -2.8 4.89e-02    -  1.00e+00 9.11e-01f  1
  61  5.1235887e+02 1.82e-04 7.71e+04  -3.3 9.36e-02    -  1.00e+00 4.47e-01f  1
  62  5.1069485e+02 2.27e-04 7.30e+04  -4.0 2.41e-01    -  6.07e-01 2.45e-01f  1
  63  5.1181201e+02 4.42e-04 5.98e+04  -2.6 6.69e-01    -  7.16e-01 1.56e-01f  1
  64  5.1054779e+02 4.26e-03 5.77e+03  -3.0 3.04e-01    -  9.19e-01 1.00e+00f  1
  65  5.1009457e+02 4.29e-03 4.52e+04  -2.6 2.29e+00    -  3.35e-01 5.33e-02f  1
  66  5.1871176e+02 5.96e-03 2.97e+04  -2.3 1.08e+00    -  2.96e-01 3.01e-01f  1
  67  5.1581657e+02 2.98e-03 4.53e+03  -2.7 1.79e-01    -  8.91e-01 6.96e-01f  1
  68  5.1065722e+02 2.04e-03 1.27e+03  -2.7 1.49e-01    -  3.97e-01 5.18e-01f  1
  69  5.0890114e+02 8.08e-04 1.59e+03  -2.7 1.33e-01    -  1.00e+00 7.27e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  5.2039764e+02 4.49e-03 5.06e+05  -1.7 1.33e+00    -  4.91e-01 1.78e-01f  1
  71  5.5785368e+02 6.46e-04 1.85e+05  -2.3 6.51e-01    -  6.07e-01 9.08e-01H  1
  72  5.1911467e+02 1.66e-02 1.44e+05  -2.3 2.68e-01    -  2.05e-01 1.00e+00f  1
