This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    46101
Number of nonzeros in inequality constraint Jacobian.:    22420
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    15824
                     variables with only lower bounds:     3649
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    12549
Total number of inequality constraints...............:     4292
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     4292

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7162430e+02 1.80e+01 2.97e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.6636027e+03 1.59e+01 4.18e+02  -0.5 2.94e+00    -  2.62e-02 1.17e-01h  1
   2  3.2417999e+03 1.54e+01 4.15e+02   0.2 3.01e+00    -  1.36e-01 3.10e-02f  1
   3  4.6933498e+03 1.42e+01 4.52e+02   0.3 4.08e+00    -  1.14e-01 7.41e-02f  1
   4  6.4482035e+03 1.26e+01 5.14e+02   0.3 5.06e+00    -  1.73e-01 1.16e-01f  1
   5  7.7385144e+03 1.10e+01 5.11e+02   0.5 5.80e+00    -  2.76e-01 1.22e-01f  1
   6  8.4833457e+03 8.41e+00 6.26e+02   0.0 4.15e+00    -  2.46e-01 2.39e-01f  1
   7  8.2066799e+03 6.99e+00 6.58e+02  -0.3 2.67e+00    -  2.25e-01 1.69e-01f  1
   8  7.9271472e+03 4.67e+00 7.18e+02  -0.1 3.19e+00    -  2.52e-01 3.33e-01f  1
   9  7.3630879e+03 4.32e+00 6.62e+02  -0.3 5.00e+00    -  2.06e-01 7.43e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  6.7700160e+03 3.65e+00 4.97e+02  -0.4 4.60e+00    -  2.61e-01 1.55e-01f  1
  11  5.9448426e+03 3.12e+00 2.87e+02  -0.4 5.53e+00    -  2.08e-01 1.46e-01f  1
  12  6.0045536e+03 2.56e+00 2.42e+02   0.1 4.79e+00    -  1.60e-01 1.78e-01f  1
  13  5.7662883e+03 2.26e+00 2.76e+02  -0.1 4.77e+00    -  3.13e-01 1.19e-01f  1
  14  5.9091531e+03 1.80e+00 2.71e+02   0.1 4.47e+00    -  1.93e-01 2.01e-01f  1
  15  5.5357399e+03 1.28e+00 3.96e+02  -0.5 2.82e+00    -  2.72e-01 2.87e-01f  1
  16  5.2052313e+03 1.18e+00 4.23e+02  -0.5 2.01e+00    -  3.20e-01 8.45e-02f  1
  17  5.8386150e+03 9.41e-01 3.25e+02   0.3 1.07e+00    -  1.51e-01 2.00e-01f  1
  18  5.0600759e+03 7.21e-01 1.89e+02  -1.6 7.99e-01    -  1.64e-01 2.33e-01f  1
  19  4.7774196e+03 6.09e-01 2.00e+02  -0.6 4.92e-01    -  3.62e-01 1.55e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  4.1750599e+03 3.03e-01 4.68e+02  -0.6 5.13e-01    -  1.00e+00 5.02e-01f  1
  21  3.8125861e+03 2.36e-01 4.13e+02  -1.3 8.58e-01    -  3.91e-01 2.22e-01f  1
  22  4.0449443e+03 1.10e-01 4.13e+02  -0.3 7.35e-01    -  6.00e-01 5.35e-01h  1
  23  3.5877593e+03 7.92e-02 3.47e+02  -1.3 7.85e-01    -  3.35e-01 2.78e-01f  1
  24  3.3998313e+03 6.46e-02 1.25e+03  -0.6 3.47e-01    -  3.71e-01 1.83e-01f  1
  25  3.2891179e+03 5.84e-02 1.13e+03  -4.0 4.41e-01    -  3.16e-01 9.58e-02f  1
  26  3.0374421e+03 4.38e-02 1.16e+03  -0.9 1.17e+00    -  3.36e-01 2.51e-01f  1
  27  2.8780104e+03 3.69e-02 1.60e+03  -1.0 1.62e+00    -  3.13e-01 1.58e-01f  1
  28  2.6602271e+03 2.82e-02 1.91e+03  -1.1 1.58e+00    -  4.09e-01 2.35e-01f  1
  29  2.7236112e+03 1.94e-02 1.83e+02  -0.5 1.04e+00    -  2.52e-01 3.10e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  2.5651798e+03 8.05e-03 2.48e+02  -0.8 4.19e-01    -  6.44e-01 6.64e-01f  1
  31  2.6302619e+03 7.16e-03 5.94e+03  -0.5 6.62e-01    -  3.37e-01 2.65e-01f  1
  32  2.5380412e+03 5.43e-03 8.46e+03  -0.8 6.08e-01    -  2.73e-01 2.08e-01f  1
  33  2.4080467e+03 9.98e-03 2.55e+02  -1.0 1.31e+00    -  1.02e-01 2.28e-01f  1
  34  2.5906608e+03 4.39e-03 2.33e+04  -0.5 5.56e-01    -  6.19e-01 5.05e-01f  1
  35  2.5121896e+03 8.54e-03 1.66e+04  -0.6 9.07e-01    -  4.06e-01 3.97e-01f  1
  36  2.3859797e+03 1.18e-02 1.36e+05  -0.8 8.90e-01    -  8.26e-01 4.39e-01f  1
  37  2.8189928e+03 9.18e-03 5.60e+05  -0.5 4.41e-01    -  3.86e-01 8.66e-01f  1
  38  2.6370096e+03 6.60e-03 8.28e+05  -0.7 4.65e-01    -  5.40e-01 2.67e-01f  1
  39  2.4529185e+03 1.17e-02 1.46e+06  -0.7 2.54e-01    -  3.04e-01 6.51e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
