This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    46101
Number of nonzeros in inequality constraint Jacobian.:    22776
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    15824
                     variables with only lower bounds:     3649
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    12549
Total number of inequality constraints...............:     4292
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     4292

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7179423e+04 7.73e+02 9.90e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  6.1684466e+04 6.26e+02 5.77e+03  -0.2 4.07e+02    -  4.51e-02 1.99e-01h  1
   2  6.7533088e+04 5.41e+02 6.32e+03   0.3 2.69e+02    -  1.55e-01 1.40e-01h  1
   3  6.1623880e+04 5.17e+02 5.75e+03   0.5 2.01e+02    -  9.90e-02 4.43e-02f  1
   4  5.7181378e+04 5.04e+02 5.58e+03   0.8 1.88e+02    -  5.05e-02 2.53e-02f  1
   5  5.3512685e+04 4.87e+02 5.68e+03   1.2 1.93e+02    -  1.43e-01 3.10e-02f  1
   6  5.2075153e+04 4.55e+02 4.88e+03   1.3 2.47e+02    -  1.77e-01 6.34e-02f  1
   7  4.9908454e+04 4.30e+02 3.58e+03   1.2 1.60e+02    -  1.35e-01 5.38e-02f  1
   8  4.8996103e+04 3.93e+02 3.09e+03   0.8 1.32e+02    -  1.03e-01 8.64e-02f  1
   9  5.3869690e+04 3.69e+02 3.72e+03   1.3 1.22e+02    -  8.12e-02 5.92e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  5.0820125e+04 3.32e+02 3.53e+03   0.9 1.05e+02    -  9.27e-02 1.06e-01f  1
  11  5.2333020e+04 3.17e+02 3.50e+03   0.7 8.23e+01    -  9.36e-02 4.46e-02h  1
  12  4.9601942e+04 2.99e+02 3.07e+03  -4.0 7.81e+01    -  9.63e-02 6.13e-02f  1
