This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:     5480
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     1572
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1572

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7339986e+02 1.49e+01 2.93e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.1714953e+03 1.40e+01 3.48e+01  -0.0 6.30e+00    -  9.39e-03 6.43e-02f  1
   2  7.9413304e+03 1.32e+01 6.79e+01   1.0 3.38e+01    -  9.37e-03 5.26e-02f  1
   3  5.9885866e+03 1.17e+01 6.56e+01  -0.4 5.29e+00    -  7.37e-02 1.20e-01f  1
   4  5.5525398e+03 1.10e+01 4.74e+01   0.0 5.41e+00    -  2.48e-01 5.30e-02f  1
   5  6.0448457e+03 8.09e+00 3.61e+01   0.2 4.24e+00    -  3.22e-01 2.67e-01f  1
   6  5.4329296e+03 5.52e+00 3.31e+01  -0.2 3.74e+00    -  4.73e-01 3.18e-01f  1
   7  4.8569276e+03 2.79e+00 5.76e+01  -0.4 2.52e+00    -  9.33e-01 4.94e-01h  1
   8  4.1975061e+03 6.07e-01 4.76e+01  -0.3 2.99e+00    -  7.39e-01 7.83e-01f  1
   9  3.7470121e+03 5.28e-01 2.09e+02  -0.4 4.86e+00    -  3.49e-01 1.30e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.2598997e+03 2.80e-01 2.72e+02  -0.3 9.03e-01    -  6.31e-01 5.05e-01f  1
  11  2.4087185e+03 1.67e-01 4.56e+02  -1.0 8.97e-01    -  1.00e+00 4.22e-01f  1
  12  1.8969847e+03 1.14e-01 1.15e+03  -0.8 1.64e+00    -  1.00e+00 4.41e-01f  1
  13  1.3087469e+03 2.30e-01 9.97e+02  -1.2 1.23e+00    -  1.00e+00 5.80e-01f  1
  14  9.0790838e+02 1.46e-01 2.04e+02  -1.3 6.32e-01    -  1.00e+00 9.35e-01f  1
  15  7.9650882e+02 9.62e-02 4.50e+03  -1.7 4.18e-01    -  8.27e-01 4.56e-01f  1
  16  7.3499738e+02 2.74e-02 8.27e+03  -1.7 2.33e-01    -  1.00e+00 7.11e-01f  1
  17  6.8671190e+02 1.36e-02 1.81e+04  -2.0 3.66e-01    -  1.00e+00 6.23e-01f  1
  18  6.6104588e+02 1.55e-02 2.80e+04  -2.2 1.24e+00    -  6.48e-01 3.66e-01f  1
  19  6.5856724e+02 3.19e-02 7.54e+04  -1.6 4.15e+00    -  2.89e-01 1.43e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  6.7386953e+02 3.34e-02 4.40e+05  -1.1 6.63e+00    -  4.07e-01 9.14e-02f  1
  21  6.6255508e+02 4.00e-02 4.32e+05  -1.7 1.02e+01    -  1.51e-01 6.54e-02f  1
  22  6.5131373e+02 6.31e-02 4.05e+05  -1.7 1.05e+01    -  1.95e-01 1.11e-01f  1
  23  6.3931509e+02 4.93e-02 4.73e+05  -1.6 1.75e+00    -  7.70e-01 2.58e-01f  1
  24  6.7562165e+02 4.94e-02 4.78e+05  -1.1 3.98e+00    -  2.47e-01 1.96e-01f  1
  25  6.5098163e+02 3.98e-02 4.40e+05  -1.5 6.05e+00    -  1.76e-01 1.24e-01f  1
  26  6.3032877e+02 4.32e-02 4.27e+05  -1.5 5.58e+00    -  2.54e-01 1.39e-01f  1
  27  5.9571544e+02 5.53e-02 3.60e+05  -1.5 2.32e+00    -  4.84e-01 3.46e-01f  1
  28  1.1433059e+03 5.95e-01 9.80e+05  -0.8 2.40e+00    -  4.67e-01 6.25e-01f  1
  29  7.8503196e+02 3.47e-01 5.29e+05  -1.0 9.59e-01    -  8.09e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
