This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    46101
Number of nonzeros in inequality constraint Jacobian.:    22420
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    15824
                     variables with only lower bounds:     3649
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    12549
Total number of inequality constraints...............:     4292
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     4292

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7162430e+02 1.80e+01 2.97e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.2475528e+03 1.59e+01 4.17e+01  -0.5 2.94e+00    -  2.62e-02 1.17e-01f  1
   2  1.6134630e+03 1.53e+01 4.37e+01  -0.0 2.73e+00    -  4.32e-01 3.87e-02f  1
   3  2.4196789e+03 1.38e+01 4.72e+01   0.1 3.96e+00    -  9.89e-02 9.67e-02f  1
   4  3.6670348e+03 1.10e+01 5.67e+01  -0.1 4.22e+00    -  1.69e-01 2.06e-01f  1
   5  4.3994535e+03 7.79e+00 7.51e+01  -0.3 3.90e+00    -  2.36e-01 2.89e-01h  1
   6  4.2838851e+03 7.25e+00 8.21e+01  -4.0 3.76e+00    -  2.27e-01 6.87e-02f  1
   7  4.2306875e+03 6.69e+00 8.56e+01  -0.4 4.51e+00    -  2.79e-01 7.74e-02f  1
   8  4.1052082e+03 5.86e+00 1.83e+02  -0.6 4.75e+00    -  2.69e-01 1.25e-01f  1
   9  4.6464478e+03 4.55e+00 1.63e+02  -0.0 5.03e+00    -  2.74e-01 2.24e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.8865358e+03 3.85e+00 9.26e+01  -0.0 4.07e+00    -  2.90e-01 1.54e-01f  1
  11  4.5586610e+03 2.94e+00 1.01e+02  -0.7 3.66e+00    -  2.84e-01 2.35e-01f  1
  12  4.3222238e+03 2.37e+00 1.31e+02  -0.8 3.10e+00    -  3.77e-01 1.95e-01f  1
