This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:   115261
Number of nonzeros in inequality constraint Jacobian.:    24856
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    39498
                     variables with only lower bounds:     9102
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    31302
Total number of inequality constraints...............:     7108
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     7108

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  5.1049489e+01 1.49e+01 9.55e-01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.0116056e+02 1.42e+01 4.25e+00   0.1 7.73e+00    -  9.51e-03 4.64e-02f  1
   2  8.3799830e+02 1.39e+01 1.68e+01   1.0 5.51e+01    -  9.49e-03 2.22e-02f  1
   3  8.2379898e+02 1.33e+01 1.61e+01  -4.0 6.19e+00    -  3.47e-02 4.10e-02f  1
   4  1.9794195e+03 9.98e+00 1.36e+01   0.1 5.10e+00    -  2.42e-01 2.52e-01f  1
   5  3.9605445e+03 3.61e+00 1.82e+01  -0.5 3.40e+00    -  3.50e-01 6.39e-01h  1
   6  4.5041079e+03 4.73e+00 1.17e+01  -2.1 3.54e+00    -  5.29e-01 5.96e-01h  1
   7  3.0291158e+03 4.18e+00 1.39e+02  -0.5 2.04e+00    -  5.99e-01 9.90e-01f  1
   8  2.2236846e+03 2.65e+00 9.36e+01  -4.0 3.79e+00    -  5.03e-01 3.15e-01f  1
   9  1.8782673e+03 1.56e+00 5.25e+01  -4.0 6.72e-01    -  6.50e-01 4.01e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.3774996e+03 1.09e+00 3.72e+01  -4.0 1.50e+00    -  2.33e-01 3.41e-01f  1
  11  1.0532086e+03 8.78e-01 2.55e+03  -1.5 2.98e+00    -  1.26e-01 3.54e-01f  1
  12  9.0848211e+02 6.91e-01 9.93e+02  -2.0 1.48e+00    -  3.86e-01 2.05e-01f  1
  13  7.8486799e+02 6.39e-01 6.39e+02  -2.7 1.84e+00    -  2.83e-01 1.54e-01f  1
  14  6.6092810e+02 5.64e-01 9.40e+01  -2.4 2.09e+00    -  2.60e-01 1.31e-01f  1
  15  5.6582428e+02 4.65e-01 5.00e+03  -1.6 1.37e+00    -  4.13e-01 1.95e-01f  1
  16  4.9220999e+02 2.78e-01 1.28e+04  -1.7 7.25e-01    -  7.48e-01 3.46e-01f  1
  17  4.1078543e+02 2.07e-01 1.85e+04  -2.0 3.93e-01    -  1.00e+00 4.27e-01f  1
  18  3.4471372e+02 2.40e-01 2.61e+04  -2.0 5.78e-01    -  9.85e-01 4.59e-01f  1
  19  2.9897856e+02 1.53e-01 1.51e+04  -2.2 3.49e-01    -  4.63e-01 4.43e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.5999809e+02 1.04e-01 1.96e+04  -2.5 2.02e-01    -  1.00e+00 4.46e-01f  1
  21  2.3546120e+02 6.39e-02 2.23e+04  -2.6 2.36e-01    -  1.00e+00 4.05e-01f  1
  22  2.4280627e+02 1.93e-02 7.95e+03  -2.2 1.95e-01    -  7.38e-01 7.24e-01f  1
  23  2.2052508e+02 1.14e-02 3.39e+04  -3.0 1.09e-01    -  1.00e+00 4.57e-01f  1
  24  2.3940425e+02 3.99e-02 3.01e+04  -2.1 5.93e-01    -  5.78e-01 4.69e-01f  1
  25  2.1824947e+02 1.26e-02 2.82e-01  -2.3 8.42e-02    -  1.00e+00 1.00e+00f  1
  26  2.0458619e+02 5.67e-03 1.12e+05  -2.7 1.62e-01    -  9.94e-01 5.66e-01f  1
  27  1.9663934e+02 4.53e-03 1.05e+05  -2.9 6.56e-01    -  1.00e+00 3.79e-01f  1
  28  1.9309629e+02 5.22e-03 3.28e+04  -2.5 3.76e+00    -  4.46e-01 1.92e-01f  1
  29  2.0107586e+02 8.44e-03 2.29e+04  -2.0 5.57e+00    -  1.99e-01 1.38e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.9504809e+02 1.02e-02 2.11e+04  -2.5 6.97e+00    -  1.07e-01 1.18e-01f  1
  31  1.8890151e+02 1.30e-02 1.92e+04  -2.5 7.69e+00    -  1.11e-01 1.19e-01f  1
  32  1.8585177e+02 1.27e-02 8.62e+03  -2.5 8.21e+00    -  1.71e-01 4.64e-02f  1
  33  1.8020141e+02 1.72e-02 7.05e+03  -2.5 5.07e+00    -  1.15e-01 2.03e-01f  1
  34  1.9398324e+02 4.06e-02 3.95e+04  -1.9 6.88e+00    -  1.90e-01 1.53e-01f  1
  35  1.8753408e+02 3.50e-02 2.12e+04  -2.4 3.63e+00    -  2.58e-01 1.63e-01f  1
  36  1.8193843e+02 8.81e-02 1.38e+04  -2.4 7.75e+00    -  2.29e-01 1.92e-01f  1
  37  1.7884039e+02 7.67e-02 6.23e+03  -2.4 4.47e+00    -  2.03e-01 1.20e-01f  1
  38  2.1733922e+02 5.20e-02 2.01e+05  -2.0 5.45e-01    -  3.69e-01 7.18e-01f  1
  39  1.9049726e+02 6.04e-02 7.75e-01  -2.2 1.35e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.8148084e+02 2.16e-02 1.84e-01  -2.2 3.35e-01    -  8.28e-01 1.00e+00f  1
  41  1.6634961e+02 9.63e-03 1.52e+05  -2.6 4.95e-01    -  9.82e-01 5.56e-01f  1
