This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:     5480
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     1572
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1572

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7335390e+02 1.49e+01 2.93e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.2079694e+03 1.40e+01 3.48e+01  -0.0 6.30e+00    -  9.39e-03 6.43e-02f  1
   2  9.0569456e+03 1.32e+01 9.92e+01   1.0 2.96e+01    -  8.57e-03 5.75e-02f  1
   3  6.8099951e+03 1.15e+01 8.18e+01  -0.4 5.46e+00    -  8.20e-02 1.25e-01f  1
   4  5.4870162e+03 1.02e+01 6.62e+01  -0.1 4.65e+00    -  1.87e-01 1.18e-01f  1
   5  1.7309372e+04 7.60e+00 2.39e+02   0.8 1.06e+01    -  4.61e-02 2.52e-01f  1
   6  1.3235584e+04 6.22e+00 1.76e+02   0.1 5.09e+00    -  2.60e-01 1.81e-01f  1
   7  1.4407250e+04 4.21e+00 1.26e+02   0.5 2.56e+00    -  3.15e-01 3.23e-01f  1
   8  1.4845983e+04 1.37e+00 7.56e+01   0.4 1.70e+00    -  6.36e-01 6.74e-01h  1
   9  1.0926168e+04 5.04e-01 5.58e+02   0.2 1.09e+00    -  7.01e-01 9.90e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  8.1133535e+03 1.17e+00 3.81e+02  -4.0 5.43e+00    -  3.04e-01 3.18e-01f  1
  11  9.8306430e+03 7.53e-01 3.84e+04   0.3 1.08e+00    -  4.81e-01 5.92e-01f  1
  12  5.7836553e+03 4.73e-01 2.16e+04  -4.0 1.24e+00    -  8.06e-01 4.42e-01f  1
  13  7.2484675e+03 3.17e-01 2.57e+05   0.2 1.87e+00    -  6.90e-01 4.69e-01f  1
  14  6.6676473e+03 2.60e-01 8.93e+05  -0.1 9.99e-01    -  8.71e-01 1.80e-01f  1
  15  3.5546851e+03 3.06e-01 4.59e+05  -0.5 2.35e+00    -  1.00e+00 6.51e-01f  1
  16  2.6937103e+03 3.66e-01 7.91e+05  -0.6 8.93e-01    -  1.00e+00 4.93e-01f  1
  17  1.9664553e+03 2.11e-01 5.84e+05  -1.3 4.32e-01    -  1.00e+00 3.99e-01f  1
  18  1.1940303e+03 1.43e-01 2.15e+05  -1.4 5.66e-01    -  1.00e+00 6.63e-01f  1
  19  9.5348927e+02 7.75e-02 8.62e+04  -1.6 8.94e-01    -  1.00e+00 4.72e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  8.2008061e+02 4.17e-02 5.66e+05  -1.9 5.61e-01    -  1.00e+00 4.56e-01f  1
  21  7.2916380e+02 2.50e-02 7.27e+05  -2.2 6.21e-01    -  8.83e-01 4.54e-01f  1
  22  7.6566333e+02 7.07e-02 2.41e+05  -1.4 4.28e-01    -  8.55e-01 1.00e+00f  1
  23  7.2151009e+02 4.71e-02 7.02e+00  -1.6 1.69e-01    -  1.00e+00 1.00e+00f  1
  24  6.4011211e+02 1.58e-02 6.43e+05  -2.3 1.10e-01    -  1.00e+00 7.20e-01f  1
  25  6.2091033e+02 8.97e-03 4.38e+05  -2.5 1.18e-01    -  1.00e+00 4.58e-01f  1
  26  7.0830195e+02 2.31e-02 1.31e+06  -1.6 5.97e-01    -  4.47e-01 1.00e+00f  1
  27  6.9608921e+02 4.73e-02 1.18e+06  -1.7 7.76e+00    -  1.28e-01 8.76e-02f  1
  28  6.9228931e+02 4.76e-02 1.16e+06  -1.7 2.47e+01    -  4.42e-02 8.35e-03f  1
