This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:    12536
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     2372
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     2372

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  1.4066839e+03 4.95e-02 4.22e+06  -1.3 4.56e-01    -  4.49e-01 4.64e-01f  1
  48  1.2906025e+03 3.13e-02 2.54e+06  -1.5 4.85e-01    -  3.55e-01 3.84e-01f  1
  49  1.2224410e+03 2.60e-02 1.02e+06  -1.4 3.41e-01    -  7.21e-01 5.92e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.2905166e+03 1.61e-02 1.42e+06  -1.1 6.14e-01    -  4.38e-01 7.12e-01f  1
  51  1.3431931e+03 3.74e-02 2.39e+06  -0.4 9.18e+00    -  1.77e-01 6.25e-02f  1
  52  1.3171772e+03 3.90e-02 9.03e+05  -1.1 5.92e+00    -  4.25e-01 3.84e-02f  1
  53  1.2398603e+03 5.91e-02 4.41e+05  -1.1 1.25e+01    -  2.74e-01 8.94e-02f  1
  54  1.2238337e+03 6.66e-02 3.44e+05  -1.1 1.40e+01    -  1.15e-01 7.15e-02f  2
  55  1.1126642e+03 3.24e-02 2.25e+04  -1.1 2.16e+00    -  5.37e-01 3.53e-01f  1
  56  9.9018850e+02 2.71e-02 1.79e+06  -4.0 2.86e+00    -  3.39e-01 1.39e-01f  1
  57  9.7077719e+02 2.64e-02 4.10e+06  -3.2 2.72e+00    -  4.33e-01 2.62e-02f  1
  58  9.4453103e+02 2.56e-02 4.80e+06  -4.0 3.44e+00    -  2.88e-01 3.44e-02f  1
  59  1.0603691e+03 4.28e-02 2.87e+06  -0.7 1.95e+00    -  3.15e-01 2.80e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  9.2154906e+02 2.54e-02 2.33e+06  -2.0 3.20e+00    -  9.22e-02 1.21e-01f  1
  61  9.0062844e+02 2.45e-02 3.42e+06  -4.0 2.48e+00    -  1.90e-01 2.70e-02f  1
  62  7.6058379e+02 2.75e-02 3.08e+06  -1.8 4.18e+00    -  2.01e-01 1.55e-01f  1
  63  7.6692766e+02 2.57e-02 1.67e+06  -0.9 3.13e+00    -  2.50e-01 1.06e-01f  2
  64  7.5779269e+02 2.50e-02 1.29e+06  -1.1 1.33e+00    -  4.20e-01 2.77e-02f  1
  65  1.0439946e+03 1.95e-02 2.85e+06  -0.5 1.57e+00    -  2.71e-01 3.59e-01f  1
  66  3.7192988e+03 1.91e-02 2.47e+07  -0.3 2.69e+00    -  2.81e-01 1.00e+00H  1
  67  2.3532772e+03 5.75e-02 1.14e+07  -0.5 1.37e+00    -  5.23e-01 5.45e-01f  1
  68  1.9043435e+03 9.28e-02 8.21e+06  -0.5 2.56e+00    -  1.69e-01 3.19e-01f  1
  69  1.7288438e+03 2.08e-02 2.20e+06  -0.5 4.25e-01    -  1.63e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.5945839e+03 1.08e-02 2.95e+01  -0.5 4.07e-01    -  1.00e+00 7.25e-01f  1
  71  1.1334170e+03 1.44e-02 9.45e+06  -1.1 1.06e+00    -  1.00e+00 5.61e-01f  1
  72  1.0528406e+03 2.14e-02 7.50e+06  -1.0 4.21e+00    -  5.45e-01 1.60e-01f  2
  73  8.9600858e+02 1.34e-02 3.42e+06  -1.0 4.79e-01    -  8.62e-01 4.55e-01f  1
  74  7.0717920e+02 1.01e-02 4.51e+06  -3.0 6.76e-01    -  5.15e-01 3.04e-01f  1
  75  6.2788046e+02 9.98e-03 4.17e+06  -2.0 1.52e+00    -  1.23e-01 9.78e-02f  1
  76  4.2303183e+02 1.68e-03 4.30e+03  -1.3 2.60e-01    -  9.66e-01 1.00e+00f  1
  77  4.4135138e+02 4.27e-03 2.28e+06  -1.1 1.07e+00    -  8.09e-01 1.91e-01f  1
  78  4.3932585e+02 8.60e-03 1.27e+06  -1.3 1.64e+00    -  4.30e-01 2.44e-01f  2
  79  3.9483787e+02 1.10e-02 6.15e+05  -1.3 1.26e+00    -  5.08e-01 4.41e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  3.6695821e+02 9.39e-03 6.45e+04  -2.6 2.06e+00    -  1.84e-01 7.04e-02f  1
  81  3.4090574e+02 8.40e-03 2.39e+05  -4.0 2.28e+00    -  1.73e-01 1.35e-01f  1
  82  3.0989655e+02 4.87e-03 1.50e+05  -1.6 7.94e-01    -  5.08e-01 4.92e-01f  1
  83  3.0163854e+02 4.71e-03 5.80e+05  -4.0 2.58e-01    -  1.73e-01 3.19e-02f  1
  84  2.9679036e+02 4.62e-03 7.60e+05  -4.0 2.31e-01    -  9.51e-02 2.00e-02f  1
  85  1.8297528e+02 1.68e-03 1.12e+05  -1.9 1.60e-01    -  4.56e-01 7.34e-01f  1
  86  1.7867101e+02 1.07e-03 4.95e+04  -1.8 6.41e-02    -  8.97e-01 3.73e-01f  1
  87  2.8035770e+02 3.42e-03 1.33e+06  -1.4 1.91e-01    -  3.73e-01 1.00e+00f  1
  88  2.2122277e+02 1.81e-03 1.04e+05  -1.6 1.10e-01    -  7.21e-01 9.35e-01f  1
  89  2.2052028e+02 1.48e-03 7.01e+04  -1.6 1.15e-01    -  6.01e-01 2.50e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.8846126e+02 1.01e-03 1.46e+06  -2.6 1.08e-01    -  1.00e+00 3.55e-01f  1
  91  1.9032108e+02 8.66e-04 4.92e+04  -1.7 2.07e-01    -  8.33e-01 1.85e-01f  1
  92  1.4378104e+02 6.32e-04 6.05e+05  -2.6 1.48e-01    -  1.00e+00 6.06e-01f  1
  93  1.9935530e+02 2.71e-03 1.30e+05  -1.7 2.44e-01    -  7.47e-01 7.30e-01f  1
  94  1.8740796e+02 2.18e-03 2.17e+05  -1.8 2.54e-01    -  7.09e-01 2.57e-01f  1
  95  1.8306283e+02 2.05e-03 2.25e+05  -1.8 2.72e-01    -  3.99e-01 7.74e-02f  1
  96  1.6358005e+02 9.77e-04 1.31e+04  -1.8 1.26e-01    -  7.19e-01 1.00e+00f  1
  97  1.6014694e+02 4.43e-04 7.78e+00  -1.8 1.08e-01    -  1.00e+00 5.65e-01f  1
  98  2.0664406e+02 2.73e-03 2.19e+05  -1.6 2.15e-01    -  1.00e+00 8.15e-01f  1
  99  2.0375401e+02 1.84e-03 2.56e+05  -1.7 3.77e-01    -  1.00e+00 3.66e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.9744387e+02 1.47e-03 2.11e+05  -1.7 2.22e-01    -  3.99e-01 1.75e-01f  1
 101  2.0211400e+02 1.41e-03 1.36e+05  -1.7 2.98e-01    -  3.09e-01 3.57e-01h  1
 102  1.8403272e+02 1.17e-03 1.73e+01  -1.7 1.07e-01    -  5.92e-01 1.00e+00f  1
 103  1.8037910e+02 7.33e-04 1.17e+01  -1.7 8.72e-02    -  1.00e+00 1.00e+00f  1
 104  1.7865892e+02 3.01e-04 6.34e+00  -1.7 1.00e-01    -  1.00e+00 1.00e+00f  1
 105  1.3253373e+02 1.65e-03 2.17e+05  -4.0 3.57e-01    -  4.04e-01 5.13e-01f  1
 106  2.0394225e+02 1.09e-03 3.51e+05  -1.6 2.03e-01    -  7.33e-01 1.00e+00f  1
 107  1.7523631e+02 1.69e-03 1.02e+05  -1.7 1.05e-01    -  6.16e-01 1.00e+00f  1
 108  1.7561883e+02 2.03e-04 4.91e+04  -1.7 7.31e-02    -  5.18e-01 1.00e+00h  1
 109  1.4431190e+02 4.06e-04 8.89e+05  -2.4 2.06e-01    -  1.00e+00 4.08e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.4064404e+02 1.20e-03 8.55e+05  -4.0 2.95e+00    -  1.43e-01 6.99e-02f  1
 111  1.2992662e+02 7.83e-04 3.50e+05  -2.2 9.00e-02    -  1.00e+00 3.64e-01f  1
 112  1.5244988e+02 4.29e-04 4.25e+05  -1.7 1.25e-01    -  3.67e-01 5.90e-01f  1
 113  1.4188244e+02 2.75e-04 2.25e+05  -2.0 9.20e-02    -  8.12e-01 5.00e-01f  2
 114  1.2372894e+02 2.38e-04 4.83e+05  -2.3 1.26e-01    -  1.00e+00 4.31e-01f  1
 115  9.3706139e+01 6.25e-04 2.20e+05  -3.1 1.98e-01    -  1.00e+00 7.42e-01f  1
 116  9.3761958e+01 6.01e-04 7.48e+04  -2.4 3.89e-01    -  5.30e-01 4.56e-02f  3
 117  8.8068274e+01 3.44e-04 1.42e+05  -3.4 3.27e-02    -  9.66e-01 4.28e-01f  1
 118  8.7106041e+01 3.09e-04 1.42e+05  -3.5 5.73e-02    -  1.00e+00 1.04e-01f  1
 119  8.6070811e+01 2.81e-04 1.34e+05  -4.0 2.39e-01    -  3.10e-01 9.08e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  3.3270453e+02 5.58e-02 8.81e+05  -1.5 2.03e+00    -  9.47e-02 3.28e-01f  1
 121  1.6534560e+02 3.39e-02 3.94e+05  -2.0 7.57e-01    -  4.90e-01 7.39e-01f  1
 122  1.3517607e+02 3.24e-02 3.76e+05  -2.0 1.69e+00    -  3.84e-02 9.39e-02f  1
 123  1.3221126e+02 1.68e-02 2.77e+05  -2.0 9.63e-02    -  2.28e-01 4.81e-01f  1
 124  1.2588635e+02 5.68e-03 7.88e+03  -2.0 1.02e-01    -  1.00e+00 7.11e-01f  1
 125  1.2495568e+02 6.33e-04 4.13e+00  -2.0 8.22e-02    -  1.00e+00 1.00e+00f  1
 126  1.2512418e+02 1.54e-03 7.76e+00  -2.0 2.20e-01    -  8.04e-01 5.00e-01f  2
 127  1.2464930e+02 9.29e-04 1.03e+01  -2.0 1.38e-01    -  1.00e+00 5.00e-01f  2
 128  1.2396474e+02 7.09e-04 6.86e+00  -2.0 2.35e-01    -  5.93e-01 2.29e-01f  1
 129  1.2412357e+02 1.03e-03 7.23e+00  -2.0 2.63e-01    -  3.23e-01 4.48e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.2370315e+02 7.66e-04 6.57e+00  -2.0 1.01e-01    -  5.37e-01 2.95e-01f  2
 131  1.2343418e+02 5.67e-04 5.08e+00  -2.0 5.63e-02    -  2.92e-01 3.15e-01f  2
 132  1.2296112e+02 8.39e-05 5.74e+00  -2.0 3.02e-02    -  1.00e+00 1.00e+00f  1
 133  1.0879670e+02 1.47e-03 4.56e+05  -2.7 3.73e-01    -  1.00e+00 4.24e-01f  1
 134  1.0384765e+02 5.98e-04 2.03e+05  -2.4 5.52e-01    -  9.25e-01 3.88e-01f  2
 135  1.0122742e+02 6.52e-04 1.22e+05  -2.4 1.43e-01    -  1.00e+00 3.67e-01f  2
 136  9.5441031e+01 4.00e-04 5.92e+04  -2.4 8.03e-02    -  9.84e-01 5.14e-01f  1
 137  9.4235538e+01 2.64e-04 3.95e+04  -2.4 1.18e-01    -  6.53e-01 3.33e-01f  1
 138  9.3729820e+01 2.43e-04 3.64e+04  -2.4 1.52e-01    -  5.57e-01 7.85e-02f  1
 139  9.1613157e+01 1.52e-04 4.59e+00  -2.4 5.07e-02    -  6.91e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  9.0451692e+01 1.42e-04 2.61e+05  -3.2 8.39e-02    -  1.00e+00 8.33e-02f  1
 141  8.1253560e+01 1.66e-04 1.23e+05  -3.5 8.30e-02    -  1.00e+00 5.87e-01f  1
 142  1.0791910e+02 6.35e-04 2.43e+05  -2.2 8.89e-02    -  6.31e-01 1.00e+00f  1
 143  1.0670199e+02 6.69e-04 2.08e+05  -2.3 2.99e-01    -  4.07e-01 1.17e-01f  2
 144  1.0203288e+02 4.82e-04 1.01e+05  -2.3 9.00e-02    -  7.35e-01 5.00e-01f  2
 145  9.9947600e+01 4.55e-04 7.71e+04  -2.3 1.10e-01    -  7.48e-01 2.16e-01f  1
 146  9.8120310e+01 2.60e-04 3.86e+04  -2.3 6.28e-02    -  4.51e-01 5.00e-01f  2
 147  9.5631157e+01 6.47e-05 1.07e+02  -2.3 2.25e-02    -  7.81e-01 1.00e+00f  1
 148  8.8080369e+01 4.17e-05 2.54e+05  -3.2 3.83e-02    -  1.00e+00 3.88e-01f  1
 149  7.9792498e+01 4.59e-05 1.34e+05  -3.9 7.02e-02    -  1.00e+00 5.52e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  7.9160559e+01 5.51e-05 1.27e+05  -4.0 4.24e-01    -  4.90e-01 5.74e-02f  1
 151  7.9091356e+01 9.15e-05 9.82e+04  -2.7 4.66e+00    -  1.70e-01 6.55e-03f  3
