This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    25301
Number of nonzeros in inequality constraint Jacobian.:    12536
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     8704
                     variables with only lower bounds:     2009
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     6909
Total number of inequality constraints...............:     2372
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     2372

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.7335212e+02 1.49e+01 2.94e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.2401133e+03 1.39e+01 1.72e+01   0.0 7.07e+00    -  8.84e-03 7.04e-02f  1
   2  3.7712661e+03 1.27e+01 4.80e+01   0.4 9.94e+00    -  1.88e-01 8.21e-02f  1
   3  7.0863362e+03 1.01e+01 5.59e+01   0.5 5.14e+00    -  2.39e-01 2.04e-01f  1
   4  5.4266222e+03 7.88e+00 4.72e+01  -4.0 4.33e+00    -  1.58e-01 2.23e-01f  1
   5  5.0516365e+03 5.55e+00 3.20e+01  -0.1 4.23e+00    -  1.44e-01 2.95e-01f  1
   6  5.3377437e+03 2.00e+00 3.76e+01  -0.1 2.53e+00    -  6.64e-01 6.39e-01h  1
   7  5.3341028e+03 9.55e-01 1.59e+02  -0.1 4.39e+00    -  7.91e-01 5.23e-01f  1
   8  4.2703388e+03 5.19e-01 1.71e+02  -0.4 3.08e+00    -  5.92e-01 4.57e-01f  1
   9  5.0074707e+03 4.29e-01 8.13e+01   0.1 1.82e+01    -  1.58e-01 1.74e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.2567433e+03 2.05e-01 1.03e+03  -0.2 1.07e+00    -  9.84e-01 5.22e-01f  1
  11  7.0703818e+03 1.74e-01 4.77e+03   0.2 3.25e+00    -  2.86e-01 7.47e-01f  1
  12  4.8503810e+03 1.92e-01 3.89e+03  -0.1 1.41e+00    -  1.00e+00 8.07e-01f  1
  13  4.6575349e+03 7.10e-02 5.44e+04  -0.1 2.38e+00    -  8.10e-02 5.18e-01f  1
  14  3.1250181e+03 6.21e-02 8.24e+02  -0.3 1.56e+00    -  1.00e+00 9.93e-01f  1
  15  3.1387734e+03 1.18e-01 3.31e+06  -0.3 1.42e+00    -  8.08e-01 1.00e+00h  1
  16  2.4320621e+03 4.54e-02 2.51e+05  -0.5 8.61e-01    -  7.29e-01 6.93e-01f  1
  17  2.7110753e+03 2.34e-02 3.05e+06  -0.4 1.61e+00    -  7.33e-01 1.00e+00H  1
  18  1.7884485e+03 1.53e-02 9.89e+06  -0.7 8.66e-01    -  1.00e+00 5.73e-01f  1
  19  3.8311344e+03 4.00e-01 2.07e+07  -0.1 1.72e+00    -  6.12e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.6660233e+03 2.67e-01 1.91e+01  -0.3 8.62e-01    -  1.00e+00 1.00e+00f  1
  21  1.9702931e+03 1.81e-01 6.88e+06  -1.0 1.49e+00    -  5.00e-01 3.31e-01f  1
  22  1.3413767e+03 1.10e-01 1.33e+07  -1.0 1.34e+00    -  9.60e-01 4.81e-01f  1
  23  1.1236455e+03 5.80e-02 5.79e+06  -0.8 1.29e+00    -  1.00e+00 4.19e-01f  1
  24  1.6666355e+03 3.84e-02 7.35e+05  -0.5 4.17e-01    -  9.57e-01 1.00e+00f  1
  25  8.2001047e+02 4.56e-02 2.38e+06  -1.8 1.01e+00    -  6.51e-01 5.81e-01f  1
  26  8.2429795e+02 4.72e-02 7.85e+05  -0.9 1.12e+00    -  9.08e-01 3.32e-01H  1
  27  7.2340037e+02 2.66e-02 1.27e+06  -1.0 3.79e-01    -  9.45e-01 4.89e-01f  1
  28  3.8129025e+02 1.57e-02 3.38e+06  -2.0 6.18e-01    -  8.80e-01 6.00e-01f  1
  29  5.8660934e+02 3.82e-02 2.53e+06  -0.8 1.81e+00    -  2.65e-01 2.70e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  3.9368142e+02 1.51e-02 2.96e+05  -1.2 2.43e-01    -  7.86e-01 8.81e-01f  1
  31  3.1185363e+02 1.09e-02 3.44e+06  -2.0 2.79e-01    -  1.00e+00 3.18e-01f  1
  32  2.4267897e+02 6.34e-03 2.09e+06  -1.8 7.62e-01    -  4.71e-01 3.82e-01f  1
  33  2.0786882e+02 5.77e-03 1.80e+06  -4.0 1.61e+00    -  2.10e-01 1.65e-01f  1
  34  1.7750767e+02 1.43e-02 1.44e+06  -2.9 2.36e+00    -  1.28e-01 1.78e-01f  1
  35  2.4483550e+02 1.87e-02 1.03e+06  -1.3 1.35e+00    -  3.19e-01 3.38e-01F  1
  36  1.8472859e+02 3.00e-02 3.30e+05  -1.7 1.67e-01    -  1.00e+00 6.80e-01f  1
  37  1.6523502e+02 5.36e-03 8.00e+00  -1.7 7.67e-02    -  3.94e-01 1.00e+00f  1
  38  1.4672216e+02 3.69e-03 9.41e+05  -2.0 1.92e-01    -  9.99e-01 2.83e-01f  1
  39  2.7500977e+02 8.18e-03 4.76e+05  -1.4 2.35e-01    -  8.62e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  2.3568192e+02 1.07e-02 2.60e+05  -1.5 4.35e-01    -  4.19e-01 9.78e-01f  1
  41  2.2563350e+02 1.04e-02 1.35e+04  -1.5 2.90e-01    -  1.00e+00 3.57e-01f  1
