This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    46101
Number of nonzeros in inequality constraint Jacobian.:    14232
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    15824
                     variables with only lower bounds:     3649
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    12549
Total number of inequality constraints...............:     4292
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     4292

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  2.3438324e+03 8.76e-04 4.52e+01  -1.0 2.32e-01    -  8.66e-01 1.00e+00H  1
  48  2.1721745e+03 6.74e-03 2.95e+05  -1.2 1.31e-01    -  8.82e-01 7.95e-01f  1
  49  2.1094024e+03 3.55e-03 9.74e+04  -1.3 1.02e-01    -  9.67e-01 9.08e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.0984887e+03 2.15e-03 8.37e+04  -1.3 2.78e-01    -  1.00e+00 3.86e-01f  1
  51  2.1377773e+03 4.48e-03 4.08e+05  -1.0 1.55e+00    -  3.33e-01 2.26e-01f  1
  52  2.1166495e+03 5.05e-03 2.35e+05  -1.3 1.04e+00    -  6.96e-01 3.73e-01f  1
  53  2.0813782e+03 6.54e-03 2.36e+05  -1.3 9.15e-01    -  8.02e-01 5.30e-01f  1
  54  2.2178752e+03 2.30e-02 4.14e+05  -1.0 1.45e+00    -  4.42e-01 5.07e-01f  1
  55  2.1468609e+03 1.71e-02 4.73e+05  -1.2 3.04e-01    -  4.74e-01 3.30e-01f  1
  56  2.0915959e+03 1.29e-02 3.85e+05  -1.2 3.03e-01    -  4.98e-01 3.74e-01f  1
  57  2.0583454e+03 5.18e-03 2.44e+05  -1.2 5.84e-01    -  9.93e-01 6.69e-01f  1
  58  2.1213941e+03 7.54e-03 1.01e+06  -1.0 1.60e+00    -  5.24e-01 2.87e-01f  2
  59  2.0886753e+03 5.56e-03 5.36e+05  -1.2 5.32e-01    -  1.00e+00 5.28e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.0355485e+03 1.52e-02 5.09e+05  -1.3 7.37e-01    -  6.75e-01 5.29e-01f  1
  61  2.0160494e+03 3.84e-03 6.97e+03  -1.3 7.32e-02    -  9.19e-01 1.00e+00f  1
